"nutrient","country","iso3","sex_id","age_id","sev_base","sev_high","sev_delta"
"Calcium","Afghanistan","AFG",1,5,56.4895234230936,56.4017478475741,-0.0877755755195011
"Calcium","Afghanistan","AFG",1,6,78.8267768354266,78.773713876663,-0.0530629587636184
"Calcium","Afghanistan","AFG",1,7,99.2987033110802,99.2963508734537,-0.00235243762654136
"Calcium","Afghanistan","AFG",1,8,99.0500163879476,99.04692668973,-0.00308969821756477
"Calcium","Afghanistan","AFG",1,9,96.3205110591431,96.3097215198343,-0.0107895393087603
"Calcium","Afghanistan","AFG",1,10,96.2754195413517,96.2642384463152,-0.0111810950364202
"Calcium","Afghanistan","AFG",1,11,97.3437344091029,97.3363914640891,-0.00734294501381783
"Calcium","Afghanistan","AFG",1,12,97.3716009515247,97.3643228288645,-0.00727812266018191
"Calcium","Afghanistan","AFG",1,13,97.2313481112935,97.2230986670784,-0.00824944421503915
"Calcium","Afghanistan","AFG",1,14,97.0355888462713,97.0262115146925,-0.00937733157880416
"Calcium","Afghanistan","AFG",1,15,97.1344390187727,97.1247910643534,-0.00964795441926469
"Calcium","Afghanistan","AFG",1,16,99.3820204500361,99.3796121797926,-0.00240827024347823
"Calcium","Afghanistan","AFG",2,5,71.3959634407277,71.3362887488533,-0.0596746918743918
"Calcium","Afghanistan","AFG",2,6,87.504839875326,87.4749164009471,-0.0299234743789754
"Calcium","Afghanistan","AFG",2,7,99.6972617617791,99.696368305262,-0.000893456517161439
"Calcium","Afghanistan","AFG",2,8,99.546090444283,99.5448036335484,-0.0012868107345696
"Calcium","Afghanistan","AFG",2,9,98.064653215003,98.0595804964978,-0.00507271850523239
"Calcium","Afghanistan","AFG",2,10,98.0835785812668,98.078451062545,-0.00512751872173567
"Calcium","Afghanistan","AFG",2,11,98.347532247821,98.3433041330968,-0.00422811472421358
"Calcium","Afghanistan","AFG",2,12,98.2969925727656,98.292548489006,-0.00444408375966532
"Calcium","Afghanistan","AFG",2,13,98.3053259993762,98.3005303921933,-0.00479560718287075
"Calcium","Afghanistan","AFG",2,14,98.3083312009298,98.3032123319999,-0.00511886892996927
"Calcium","Afghanistan","AFG",2,15,99.6670624878106,99.665903757136,-0.00115873067463212
"Calcium","Afghanistan","AFG",2,16,99.8119978486222,99.8112718809201,-0.000725967702081221
"Calcium","Albania","ALB",1,5,0,0,0
"Calcium","Albania","ALB",1,6,0,0,0
"Calcium","Albania","ALB",1,7,0,0,0
"Calcium","Albania","ALB",1,8,0,0,0
"Calcium","Albania","ALB",1,9,0,0,0
"Calcium","Albania","ALB",1,10,0,0,0
"Calcium","Albania","ALB",1,11,0,0,0
"Calcium","Albania","ALB",1,12,0,0,0
"Calcium","Albania","ALB",1,13,0,0,0
"Calcium","Albania","ALB",1,14,0,0,0
"Calcium","Albania","ALB",1,15,0,0,0
"Calcium","Albania","ALB",1,16,0,0,0
"Calcium","Albania","ALB",2,5,0,0,0
"Calcium","Albania","ALB",2,6,0,0,0
"Calcium","Albania","ALB",2,7,0,0,0
"Calcium","Albania","ALB",2,8,0,0,0
"Calcium","Albania","ALB",2,9,0,0,0
"Calcium","Albania","ALB",2,10,0,0,0
"Calcium","Albania","ALB",2,11,0,0,0
"Calcium","Albania","ALB",2,12,0,0,0
"Calcium","Albania","ALB",2,13,0,0,0
"Calcium","Albania","ALB",2,14,0,0,0
"Calcium","Albania","ALB",2,15,0,0,0
"Calcium","Albania","ALB",2,16,0,0,0
"Calcium","Algeria","DZA",1,5,0,0,0
"Calcium","Algeria","DZA",1,6,0,0,0
"Calcium","Algeria","DZA",1,7,0,0,0
"Calcium","Algeria","DZA",1,8,0,0,0
"Calcium","Algeria","DZA",1,9,0,0,0
"Calcium","Algeria","DZA",1,10,0,0,0
"Calcium","Algeria","DZA",1,11,34.5394699128236,35.2699331809756,0.730463268152043
"Calcium","Algeria","DZA",1,12,36.0689164095953,36.7996195866327,0.73070317703732
"Calcium","Algeria","DZA",1,13,29.5179295862451,30.2490668422911,0.731137256046011
"Calcium","Algeria","DZA",1,14,0.00260849889393364,0.00399442733711139,0.00138592844317774
"Calcium","Algeria","DZA",1,15,0,0.00173329140674407,0.00173329140674407
"Calcium","Algeria","DZA",1,16,0,0,0
"Calcium","Algeria","DZA",2,5,0,0,0
"Calcium","Algeria","DZA",2,6,5.0641022301622e-10,5.01973125359066e-10,-4.43709765715375e-12
"Calcium","Algeria","DZA",2,7,76.9214255865697,77.4287193831929,0.507293796623188
"Calcium","Algeria","DZA",2,8,71.0203202240757,71.6154623518768,0.59514212780104
"Calcium","Algeria","DZA",2,9,41.6326246961553,42.4244204138876,0.791795717732391
"Calcium","Algeria","DZA",2,10,38.8985848668071,39.7022322025639,0.803647335756764
"Calcium","Algeria","DZA",2,11,49.4440164598843,50.1879235814144,0.743907121530164
"Calcium","Algeria","DZA",2,12,48.5193593247474,49.2631547044101,0.743795379662679
"Calcium","Algeria","DZA",2,13,42.1591368091925,42.9374063766397,0.778269567447204
"Calcium","Algeria","DZA",2,14,36.4703549640531,37.277946283725,0.807591319671914
"Calcium","Algeria","DZA",2,15,66.0492401231184,66.709861768474,0.66062164535559
"Calcium","Algeria","DZA",2,16,0.00189300184708753,0.0028963956147447,0.00100339376765717
"Calcium","Angola","AGO",1,5,73.5339459536819,73.4055043780627,-0.128441575619249
"Calcium","Angola","AGO",1,6,85.0249629745839,84.9604390963058,-0.0645238782780808
"Calcium","Angola","AGO",1,7,98.674880673948,98.6687201415515,-0.00616053239649261
"Calcium","Angola","AGO",1,8,97.9372200846575,97.9281800808667,-0.00904000379077274
"Calcium","Angola","AGO",1,9,93.6613064607548,93.6371712578967,-0.0241352028581048
"Calcium","Angola","AGO",1,10,93.4815504230733,93.4569710540946,-0.0245793689787348
"Calcium","Angola","AGO",1,11,94.0828690453407,94.0644553390222,-0.0184137063184835
"Calcium","Angola","AGO",1,12,94.8627837655467,94.8467668471066,-0.0160169184401298
"Calcium","Angola","AGO",1,13,93.3977946706649,93.3790022928573,-0.0187923778075714
"Calcium","Angola","AGO",1,14,99.9994491847145,99.9994366318,-1.25529145122982e-05
