"nutrient","country","iso3","sex_id","age_id","sev_base","sev_high","sev_delta"
"Omega-3 fatty acids","Afghanistan","AFG",1,10,99.9113503497461,99.8131293899136,-0.0982209598324602
"Omega-3 fatty acids","Afghanistan","AFG",1,11,99.9625850144012,99.933677010257,-0.0289080041442702
"Omega-3 fatty acids","Afghanistan","AFG",1,12,99.9844265624016,99.9594831798243,-0.024943382577348
"Omega-3 fatty acids","Afghanistan","AFG",1,13,99.8690253179399,99.7641613535786,-0.104863964361257
"Omega-3 fatty acids","Afghanistan","AFG",1,14,99.9450884309273,99.9537167945489,0.00862836362159669
"Omega-3 fatty acids","Afghanistan","AFG",1,15,99.9539648197038,99.9484157630512,-0.00554905665261174
"Omega-3 fatty acids","Afghanistan","AFG",1,16,99.9315396655533,99.8626914269395,-0.0688482386138105
"Omega-3 fatty acids","Afghanistan","AFG",2,10,99.9199999919297,99.9701919187031,0.0501919267733655
"Omega-3 fatty acids","Afghanistan","AFG",2,11,99.9135820164648,99.8389464739669,-0.0746355424979015
"Omega-3 fatty acids","Afghanistan","AFG",2,12,99.9288902852251,93.6666983979983,-6.26219188722679
"Omega-3 fatty acids","Afghanistan","AFG",2,13,Inf,99.8673496178889,-Inf
"Omega-3 fatty acids","Afghanistan","AFG",2,14,97.9918501189773,99.7227094841337,1.73085936515638
"Omega-3 fatty acids","Afghanistan","AFG",2,15,99.9341367574843,99.9254341766757,-0.00870258080864517
"Omega-3 fatty acids","Afghanistan","AFG",2,16,99.9449377439331,99.9119126911848,-0.0330250527483145
"Omega-3 fatty acids","Albania","ALB",1,10,99.9440715782865,99.9429282814232,-0.00114329686321923
"Omega-3 fatty acids","Albania","ALB",1,11,99.9440405140134,99.9428965824574,-0.00114393155600112
"Omega-3 fatty acids","Albania","ALB",1,12,99.9441840421477,99.9430430444092,-0.00114099773850285
"Omega-3 fatty acids","Albania","ALB",1,13,99.9214135804904,99.9198063124459,-0.00160726804443811
"Omega-3 fatty acids","Albania","ALB",1,14,99.9214194621662,99.9198123153927,-0.00160714677343776
"Omega-3 fatty acids","Albania","ALB",1,15,99.9617754821055,99.9609944228014,-0.000781059304131304
"Omega-3 fatty acids","Albania","ALB",1,16,99.9541175021445,99.9531795670998,-0.000937935044632354
"Omega-3 fatty acids","Albania","ALB",2,10,99.9504051066368,99.9493912819935,-0.00101382464328026
"Omega-3 fatty acids","Albania","ALB",2,11,99.9505738925925,99.9495635183469,-0.00101037424553851
"Omega-3 fatty acids","Albania","ALB",2,12,99.950887007812,99.949883034307,-0.00100397350496451
"Omega-3 fatty acids","Albania","ALB",2,13,99.9320462741661,99.9306565315464,-0.00138974261965075
"Omega-3 fatty acids","Albania","ALB",2,14,99.9341273072224,99.9327801870559,-0.00134712016652827
"Omega-3 fatty acids","Albania","ALB",2,15,99.9686409073676,99.9680003533815,-0.000640553986073655
"Omega-3 fatty acids","Albania","ALB",2,16,99.9632733779553,99.9625225886773,-0.000750789277972785
"Omega-3 fatty acids","Algeria","DZA",1,10,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,11,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,12,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,13,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,14,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,15,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,16,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,10,99.4571111624374,99.458379240688,0.00126807825066066
"Omega-3 fatty acids","Algeria","DZA",2,11,99.458958769394,99.4602225322095,0.00126376281551188
"Omega-3 fatty acids","Algeria","DZA",2,12,99.4623862727486,99.4636420293112,0.00125575656252863
"Omega-3 fatty acids","Algeria","DZA",2,13,99.253080500994,99.2548329040503,0.00175240305621571
"Omega-3 fatty acids","Algeria","DZA",2,14,99.2760446337638,99.2777427308805,0.00169809711670155
"Omega-3 fatty acids","Algeria","DZA",2,15,99.6593508927136,99.6601390666624,0.00078817394876296
"Omega-3 fatty acids","Algeria","DZA",2,16,99.5979730562629,99.5989121096507,0.000939053387824629
"Omega-3 fatty acids","Angola","AGO",1,10,99.8439514034532,99.8098626133325,-0.034088790120677
"Omega-3 fatty acids","Angola","AGO",1,11,99.8223056937945,99.834447468395,0.0121417746004937
"Omega-3 fatty acids","Angola","AGO",1,12,80.2426091868963,99.794655394147,19.5520462072507
"Omega-3 fatty acids","Angola","AGO",1,13,99.717235051903,99.7644166121131,0.047181560210106
"Omega-3 fatty acids","Angola","AGO",1,14,99.8372739988002,99.7756019361685,-0.0616720626316436
"Omega-3 fatty acids","Angola","AGO",1,15,99.9206982639211,99.8595336869682,-0.0611645769528195
"Omega-3 fatty acids","Angola","AGO",1,16,99.9006472716365,99.8241889404504,-0.0764583311860321
"Omega-3 fatty acids","Angola","AGO",2,10,99.8439514034532,99.8098626133325,-0.034088790120677
"Omega-3 fatty acids","Angola","AGO",2,11,99.8223056937945,99.834447468395,0.0121417746004937
"Omega-3 fatty acids","Angola","AGO",2,12,80.2426091868963,99.794655394147,19.5520462072507
"Omega-3 fatty acids","Angola","AGO",2,13,99.717235051903,99.7644166121131,0.047181560210106
"Omega-3 fatty acids","Angola","AGO",2,14,99.8372739988002,99.7756019361685,-0.0616720626316436
"Omega-3 fatty acids","Angola","AGO",2,15,99.9206982639211,99.8595336869682,-0.0611645769528195
"Omega-3 fatty acids","Angola","AGO",2,16,99.9006472716365,99.8241889404504,-0.0764583311860321
"Omega-3 fatty acids","Antigua & Barbuda","ATG",1,10,99.5115538130954,99.5205917647191,0.00903795162376753
"Omega-3 fatty acids","Antigua & Barbuda","ATG",1,11,99.4964580471769,98.8638241097559,-0.632633937421048
"Omega-3 fatty acids","Antigua & Barbuda","ATG",1,12,99.6666912070079,99.5134736760931,-0.153217530914759
"Omega-3 fatty acids","Antigua & Barbuda","ATG",1,13,99.3500575130723,99.2012442078673,-0.14881330520501
"Omega-3 fatty acids","Antigua & Barbuda","ATG",1,14,99.4203211950963,99.3385041082035,-0.0818170868928121
"Omega-3 fatty acids","Antigua & Barbuda","ATG",1,15,99.7584418730154,99.745338011452,-0.013103861563394
"Omega-3 fatty acids","Antigua & Barbuda","ATG",1,16,99.6800396214935,99.5613993042104,-0.118640317283152
"Omega-3 fatty acids","Antigua & Barbuda","ATG",2,10,99.5092460950311,96.3119017346393,-3.19734436039182
"Omega-3 fatty acids","Antigua & Barbuda","ATG",2,11,98.9009518965588,99.5398960341354,0.63894413757663
"Omega-3 fatty acids","Antigua & Barbuda","ATG",2,12,65.2521269331467,99.3501284896175,34.0980015564709
"Omega-3 fatty acids","Antigua & Barbuda","ATG",2,13,99.4267091945643,Inf,Inf
"Omega-3 fatty acids","Antigua & Barbuda","ATG",2,14,99.3436896541554,99.4210091099105,0.0773194557550738
"Omega-3 fatty acids","Antigua & Barbuda","ATG",2,15,99.7523629635385,99.5741530001674,-0.178209963371145
"Omega-3 fatty acids","Antigua & Barbuda","ATG",2,16,Inf,99.5806947525001,-Inf
"Omega-3 fatty acids","Argentina","ARG",1,10,99.7548888260113,99.7373491185215,-0.0175397074897461
"Omega-3 fatty acids","Argentina","ARG",1,11,99.6863854532381,99.6994259141194,0.0130404608812853
"Omega-3 fatty acids","Argentina","ARG",1,12,99.7668043100855,99.8650305614416,0.0982262513561807
"Omega-3 fatty acids","Argentina","ARG",1,13,99.6665146913366,99.6928786326467,0.0263639413100663
"Omega-3 fatty acids","Argentina","ARG",1,14,99.6767900918724,98.5924298501649,-1.08436024170743
"Omega-3 fatty acids","Argentina","ARG",1,15,98.922358993547,99.855969617834,0.933610624286985
"Omega-3 fatty acids","Argentina","ARG",1,16,99.8069679394755,99.7985696194938,-0.00839831998166574
"Omega-3 fatty acids","Argentina","ARG",2,10,99.7665628550887,82.6013400642499,-17.1652227908388
"Omega-3 fatty acids","Argentina","ARG",2,11,0,25.7201279369221,25.7201279369221
"Omega-3 fatty acids","Argentina","ARG",2,12,99.4575552035225,99.1323996203704,-0.325155583152153
"Omega-3 fatty acids","Argentina","ARG",2,13,99.7077997609023,99.8649272225386,0.157127461636321
"Omega-3 fatty acids","Argentina","ARG",2,14,99.6962979006905,99.7550442651388,0.0587463644483535
"Omega-3 fatty acids","Argentina","ARG",2,15,99.8066594607671,99.4428563499282,-0.36380311083883
"Omega-3 fatty acids","Argentina","ARG",2,16,98.3300479904821,99.7195920510426,1.38954406056047
"Omega-3 fatty acids","Armenia","ARM",1,10,99.780570775741,99.7794393331466,-0.00113144259437092
"Omega-3 fatty acids","Armenia","ARM",1,11,99.780448898939,99.7793168280374,-0.00113207090161893
"Omega-3 fatty acids","Armenia","ARM",1,12,99.781012015586,99.7798828481588,-0.00112916742718028
"Omega-3 fatty acids","Armenia","ARM",1,13,99.6912374844735,99.689642363863,-0.00159512061048872
"Omega-3 fatty acids","Armenia","ARM",1,14,99.6912606611974,99.6896656658998,-0.00159499529762286
"Omega-3 fatty acids","Armenia","ARM",1,15,99.8504449499277,99.8496766736444,-0.000768276283253044
"Omega-3 fatty acids","Armenia","ARM",1,16,99.8199848994226,99.8190566873485,-0.000928212074143175
"Omega-3 fatty acids","Armenia","ARM",2,10,99.805419709236,99.8044163953323,-0.00100331390370911
"Omega-3 fatty acids","Armenia","ARM",2,11,99.8060819218131,99.805082022476,-0.000999899337145393
"Omega-3 fatty acids","Armenia","ARM",2,12,99.8073103998667,99.8063168302257,-0.000993569641011049
"Omega-3 fatty acids","Armenia","ARM",2,13,99.7330655908667,99.7316868881267,-0.00137870273997009
"Omega-3 fatty acids","Armenia","ARM",2,14,99.7412502029193,99.7399138705503,-0.00133633236897879
"Omega-3 fatty acids","Armenia","ARM",2,15,99.877243371321,99.8766123370912,-0.000631034229755301
"Omega-3 fatty acids","Armenia","ARM",2,16,99.8559069291054,99.8551639424549,-0.000742986650536182
"Omega-3 fatty acids","Australia","AUS",1,10,99.7482825593331,99.7461256804215,-0.00215687891166283
"Omega-3 fatty acids","Australia","AUS",1,11,99.7374884648934,99.4827401512202,-0.254748313673247
"Omega-3 fatty acids","Australia","AUS",1,12,99.7300542429963,99.8678008247869,0.13774658179058
"Omega-3 fatty acids","Australia","AUS",1,13,99.6533702557229,99.6175847410049,-0.0357855147179436
"Omega-3 fatty acids","Australia","AUS",1,14,99.600162470633,99.5152018666291,-0.084960604003868
