,countries,products,elements,country_codes,,product_codes,,ele_codes,,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,_2026,_2027,_2028,_2029,_2030
AFG_BT_FO..PC,Afghanistan,Bovine,Per-capita food consumption [kg/p/d],2,AFG,19,BT,211,FO..PC,1.027262991,1.020776514,1.033769421,1.031101709,1.074177138,1.060055779,1.05742844,0.849051713,0.826210824,0.808024785,0.806411661,0.819349425,0.831298574,0.842939082,0.853648814,0.864434111,0.874768244,0.884638715,0.89415217,0.903222618,0.912032847
AFG_BV_FO..PC,Afghanistan,Butter,Per-capita food consumption [kg/p/d],2,AFG,14,BV,211,FO..PC,1.868127836,1.891610195,1.933192266,1.890018838,1.864493326,1.849363196,1.856400873,1.84124049,1.811351585,1.77559532,1.775481127,1.776126508,1.776867775,1.775846027,1.774629876,1.773681794,1.772882877,1.772240729,1.771320485,1.770687492,1.770310195
AFG_CN_FO..PC,Afghanistan,Coconuts,Per-capita food consumption [kg/p/d],2,AFG,11,CN,211,FO..PC,0.034718403,0.033660287,0.032576519,0.03151424,0.030526876,0.029641493,0.028855006,0.028145164,0.027492788,0.026875213,0.026277796,0.025697886,0.025138833,0.024600728,0.024084787,0.023591361,0.023119011,0.022665809,0.022230958,0.021813743,0.021413484
AFG_EG_FO..PC,Afghanistan,Eggs,Per-capita food consumption [kg/p/d],2,AFG,20,EG,211,FO..PC,0.348274094,0.363089989,0.391100042,0.405460187,0.417045917,0.38422801,0.359986752,0.398591208,0.404007406,0.403753874,0.410833116,0.416268261,0.422490537,0.428517378,0.435172252,0.441541346,0.447918716,0.454186064,0.460810518,0.467314238,0.473667137
AFG_FH_FO..PC,Afghanistan,Fish,Per-capita food consumption [kg/p/d],2,AFG,21,FH,211,FO..PC,0.266936464,0.266769857,0.269388954,0.268555199,0.273663084,0.274463989,0.276947786,0.278574976,0.275991709,0.270400399,0.268808289,0.269274485,0.270190543,0.271166697,0.272681189,0.274372764,0.276186311,0.278983942,0.28010258,0.282478155,0.284887618
AFG_HFCS_FO..PC,Afghanistan,HFCS,Per-capita food consumption [kg/p/d],2,AFG,8,HFCS,211,FO..PC,3.12466E-06,3.02943E-06,2.93189E-06,2.83628E-06,2.74742E-06,2.66773E-06,2.59695E-06,2.53306E-06,2.47435E-06,2.41877E-06,2.365E-06,2.31281E-06,2.26249E-06,2.21407E-06,2.16763E-06,2.12322E-06,2.08071E-06,2.03992E-06,2.00079E-06,1.96324E-06,1.92721E-06
AFG_MA_FO..PC,Afghanistan,Maize and products,Per-capita food consumption [kg/p/d],2,AFG,1,MA,211,FO..PC,3.250837248,3.198392804,3.177455213,3.214727492,3.203160383,3.128230618,3.189557256,3.207403122,3.018997169,2.961383461,2.939189246,2.915555235,2.89540736,2.875545163,2.857987477,2.841687319,2.826396495,2.812527197,2.799874146,2.788294375,2.778130547
AFG_MK_FO..PC,Afghanistan,Milk and Dairy,Per-capita food consumption [kg/p/d],2,AFG,18,MK,211,FO..PC,4.790765405,4.796575384,4.869527961,4.783731666,5.100217011,4.948717558,4.778854944,5.123111487,5.267974708,5.151785833,5.232984943,5.273764891,5.317745719,5.361319581,5.408805484,5.458716399,5.510362876,5.56038832,5.610030869,5.658338957,5.700942402
AFG_OCG_FO..PC,Afghanistan,Other Coarse Grains,Per-capita food consumption [kg/p/d],2,AFG,3,OCG,211,FO..PC,1.525371159,1.49905484,1.437207204,1.451557757,1.441546873,1.416867424,1.372615206,1.356961726,1.311523853,1.298076279,1.284774645,1.273151452,1.263224823,1.250578423,1.240418006,1.229361958,1.218152275,1.206839118,1.194964504,1.182449519,1.169343619
AFG_OOS_FO..PC,Afghanistan,Other Oilseeds,Per-capita food consumption [kg/p/d],2,AFG,10,OOS,211,FO..PC,0.05857326,0.056312303,0.056586055,0.044762139,0.043427399,0.042185932,0.040963268,0.040085993,0.039259561,0.039028417,0.039080068,0.038961276,0.038932418,0.038922639,0.038887409,0.03886653,0.0388536,0.038852343,0.038852406,0.038857078,0.038866958
