"iso3","country","unm49","group_code","group_name","continent_region"
"CHN","China",47,"AGL","Aglink - Individual countries","Asia"
"JPN","Japan",117,"AGL","Aglink - Individual countries","Asia"
"KOR","Republic of Korea",124,"AGL","Aglink - Individual countries","Asia"
"CHE","Switzerland",45,"AGL","Aglink - Individual countries","Europe"
"GBR","UK",84,"AGL","Aglink - Individual countries","Europe"
"NOR","Norway",169,"AGL","Aglink - Individual countries","Europe"
"RUS","Russia",191,"AGL","Aglink - Individual countries","Europe"
"ARG","Argentina",14,"AGL","Aglink - Individual countries","Latin America& Caribbean"
"BRA","Brazil",37,"AGL","Aglink - Individual countries","Latin America& Caribbean"
"MEX","Mexico",144,"AGL","Aglink - Individual countries","Latin America& Caribbean"
"CAN","Canada",43,"AGL","Aglink - Individual countries","North America"
"USA","United States",237,"AGL","Aglink - Individual countries","North America"
"AUS","Australia",19,"AGL","Aglink - Individual countries","Oceania"
"NZL","New Zealand",172,"AGL","Aglink - Individual countries","Oceania"
"EGY","Egypt",71,"COS","Cosimo- individual countries","Africa"
"ETH","Ethiopia",76,"COS","Cosimo- individual countries","Africa"
"NGA","Nigeria",165,"COS","Cosimo- individual countries","Africa"
"ZAF","South Africa",250,"COS","Cosimo- individual countries","Africa"
"IDN","Indonesia",105,"COS","Cosimo- individual countries","Asia"
"IND","India",107,"COS","Cosimo- individual countries","Asia"
"IRN","Iran (Islamic Republic o",110,"COS","Cosimo- individual countries","Asia"
"ISR","Israel",113,"COS","Cosimo- individual countries","Asia"
"KAZ","Kazakhstan",118,"COS","Cosimo- individual countries","Asia"
"MYS","Malaysia",159,"COS","Cosimo- individual countries","Asia"
"PAK","Pakistan",174,"COS","Cosimo- individual countries","Asia"
"PHL","Philippines",178,"COS","Cosimo- individual countries","Asia"
"SAU","Saudi Arabia",193,"COS","Cosimo- individual countries","Asia"
"THA","Thailand",221,"COS","Cosimo- individual countries","Asia"
"TUR","Turkey",229,"COS","Cosimo- individual countries","Asia"
"VNM","Viet Nam",244,"COS","Cosimo- individual countries","Asia"
"UKR","Ukraine",234,"COS","Cosimo- individual countries","Europe"
"CHL","Chile",46,"COS","Cosimo- individual countries","Latin America& Caribbean"
"COL","Colombia",53,"COS","Cosimo- individual countries","Latin America& Caribbean"
"PER","Peru",177,"COS","Cosimo- individual countries","Latin America& Caribbean"
"PRY","Paraguay",185,"COS","Cosimo- individual countries","Latin America& Caribbean"
"AUT","Austria",20,"EUN","E27","Europe"
"BEL","Belgium",23,"EUN","E27","Europe"
"BGR","Bulgaria",28,"EUN","E27","Europe"
"CSK","Czechoslovakia",57,"EUN","E27","Europe"
"CYP","Cyprus",62,"EUN","E27","Europe"
"CZE","Czech",63,"EUN","E27","Europe"
"DEU","Germany",64,"EUN","E27","Europe"
"DNK","Denmark",67,"EUN","E27","Europe"
"ESP","Spain",74,"EUN","E27","Europe"
"EST","Estonia",75,"EUN","E27","Europe"
"FIN","Finland",77,"EUN","E27","Europe"
"FRA","France",80,"EUN","E27","Europe"
"GRC","Greece",93,"EUN","E27","Europe"
"HRV","Croatia",102,"EUN","E27","Europe"
"HUN","Hungary",104,"EUN","E27","Europe"
"IRL","Ireland",109,"EUN","E27","Europe"
"ITA","Italy",114,"EUN","E27","Europe"
"LTU","Lituania",134,"EUN","E27","Europe"
"LUX","Luxembourg",135,"EUN","E27","Europe"
"LVA","Latvia",136,"EUN","E27","Europe"
"MLT","Malta",148,"EUN","E27","Europe"
"NLD","Netherlands",168,"EUN","E27","Europe"
"POL","Poland",181,"EUN","E27","Europe"
"PRT","Portugal",184,"EUN","E27","Europe"
"ROU","Romania",190,"EUN","E27","Europe"
"SVK","Slovakia",211,"EUN","E27","Europe"
"SVN","Slovenia",212,"EUN","E27","Europe"
"SWE","Sweden",213,"EUN","E27","Europe"
"830","Channel Islands",4,"EUE","Other Europe","Europe"
"ALB","Albania",10,"EUE","Other Europe","Europe"
"AND","Andorra",11,"EUE","Other Europe","Europe"
"BIH","Bosnia and Herzegovina",31,"EUE","Other Europe","Europe"
"BLR","Belarus",33,"EUE","Other Europe","Europe"
"FRO","Faeroe Islands",81,"EUE","Other Europe","Europe"
"GIB","Gibraltar",87,"EUE","Other Europe","Europe"
"GRL","Greenland",95,"EUE","Other Europe","Europe"
"IMN","Isle of Man",106,"EUE","Other Europe","Europe"
"ISL","Iceland",112,"EUE","Other Europe","Europe"
"LIE","Liechtenstein",131,"EUE","Other Europe","Europe"
"MCO","Monaco",140,"EUE","Other Europe","Europe"
"MDA","Moldova, Republic of",141,"EUE","Other Europe","Europe"
"MKD","FYRMacedonia",146,"EUE","Other Europe","Europe"
"MNE","Montenegro",150,"EUE","Other Europe","Europe"
"SCG","Serbia and Montenegro",194,"EUE","Other Europe","Europe"
"SJM","Svalbard and Jan Mayen",200,"EUE","Other Europe","Europe"
"SRB","Serbia",206,"EUE","Other Europe","Europe"
"VAT","Holy See",239,"EUE","Other Europe","Europe"
"YUG","Yugoslavia SFR",249,"EUE","Other Europe","Europe"
"MRT","Mauritania",154,"ANL","Least Developed North Africa","Africa"
"SDN","Sudan",195,"ANL","Least Developed North Africa","Africa"
"DZA","Algeria",69,"AFN","Other North Africa","Africa"
"LBY","Libyan Arab Jamahiriya",129,"AFN","Other North Africa","Africa"
"MAR","Morocco",139,"AFN","Other North Africa","Africa"
"TUN","Tunisia",228,"AFN","Other North Africa","Africa"
"AGO","Angola",8,"AFL","LDC Subsaharan Africa","Africa"
"BDI","Burundi",22,"AFL","LDC Subsaharan Africa","Africa"
"BEN","Benin",24,"AFL","LDC Subsaharan Africa","Africa"
"BFA","Burkina Faso",26,"AFL","LDC Subsaharan Africa","Africa"
"CAF","Central African Republic",42,"AFL","LDC Subsaharan Africa","Africa"
"COD","Democratic Republic of t",50,"AFL","LDC Subsaharan Africa","Africa"
"COM","Comoros",54,"AFL","LDC Subsaharan Africa","Africa"
"DJI","Djibouti",65,"AFL","LDC Subsaharan Africa","Africa"
"ERI","Eritrea",72,"AFL","LDC Subsaharan Africa","Africa"
"GIN","Guinea",88,"AFL","LDC Subsaharan Africa","Africa"
