"iso3","country","iso3_use","country_use","unm49","group_code","group_name","continent_region"
"CHN","China","CHN","China",47,"AGL","Aglink - Individual countries","Asia"
"JPN","Japan","JPN","Japan",117,"AGL","Aglink - Individual countries","Asia"
"KOR","Republic of Korea","KOR","South Korea",124,"AGL","Aglink - Individual countries","Asia"
"CHE","Switzerland","CHE","Switzerland",45,"AGL","Aglink - Individual countries","Europe"
"GBR","UK","GBR","United Kingdom",84,"AGL","Aglink - Individual countries","Europe"
"NOR","Norway","NOR","Norway",169,"AGL","Aglink - Individual countries","Europe"
"RUS","Russia","RUS","Russia",191,"AGL","Aglink - Individual countries","Europe"
"ARG","Argentina","ARG","Argentina",14,"AGL","Aglink - Individual countries","Latin America& Caribbean"
"BRA","Brazil","BRA","Brazil",37,"AGL","Aglink - Individual countries","Latin America& Caribbean"
"MEX","Mexico","MEX","Mexico",144,"AGL","Aglink - Individual countries","Latin America& Caribbean"
"CAN","Canada","CAN","Canada",43,"AGL","Aglink - Individual countries","North America"
"USA","United States","USA","United States",237,"AGL","Aglink - Individual countries","North America"
"AUS","Australia","AUS","Australia",19,"AGL","Aglink - Individual countries","Oceania"
"NZL","New Zealand","NZL","New Zealand",172,"AGL","Aglink - Individual countries","Oceania"
"EGY","Egypt","EGY","Egypt",71,"COS","Cosimo- individual countries","Africa"
"ETH","Ethiopia","ETH","Ethiopia",76,"COS","Cosimo- individual countries","Africa"
"NGA","Nigeria","NGA","Nigeria",165,"COS","Cosimo- individual countries","Africa"
"ZAF","South Africa","ZAF","South Africa",250,"COS","Cosimo- individual countries","Africa"
"IDN","Indonesia","IDN","Indonesia",105,"COS","Cosimo- individual countries","Asia"
"IND","India","IND","India",107,"COS","Cosimo- individual countries","Asia"
"IRN","Iran (Islamic Republic o","IRN","Iran",110,"COS","Cosimo- individual countries","Asia"
"ISR","Israel","ISR","Israel",113,"COS","Cosimo- individual countries","Asia"
"KAZ","Kazakhstan","KAZ","Kazakhstan",118,"COS","Cosimo- individual countries","Asia"
"MYS","Malaysia","MYS","Malaysia",159,"COS","Cosimo- individual countries","Asia"
"PAK","Pakistan","PAK","Pakistan",174,"COS","Cosimo- individual countries","Asia"
"PHL","Philippines","PHL","Philippines",178,"COS","Cosimo- individual countries","Asia"
"SAU","Saudi Arabia","SAU","Saudi Arabia",193,"COS","Cosimo- individual countries","Asia"
"THA","Thailand","THA","Thailand",221,"COS","Cosimo- individual countries","Asia"
"TUR","Turkey","TUR","Turkey",229,"COS","Cosimo- individual countries","Asia"
"VNM","Viet Nam","VNM","Vietnam",244,"COS","Cosimo- individual countries","Asia"
"UKR","Ukraine","UKR","Ukraine",234,"COS","Cosimo- individual countries","Europe"
"CHL","Chile","CHL","Chile",46,"COS","Cosimo- individual countries","Latin America& Caribbean"
"COL","Colombia","COL","Colombia",53,"COS","Cosimo- individual countries","Latin America& Caribbean"
"PER","Peru","PER","Peru",177,"COS","Cosimo- individual countries","Latin America& Caribbean"
"PRY","Paraguay","PRY","Paraguay",185,"COS","Cosimo- individual countries","Latin America& Caribbean"
"AUT","Austria","AUT","Austria",20,"EUN","E27","Europe"
"BEL","Belgium","BEL","Belgium",23,"EUN","E27","Europe"
"BGR","Bulgaria","BGR","Bulgaria",28,"EUN","E27","Europe"
"CSK","Czechoslovakia","CSK","Czechoslovakia",57,"EUN","E27","Europe"
"CYP","Cyprus","CYP","Cyprus",62,"EUN","E27","Europe"
"CZE","Czech","CZE","Czechia",63,"EUN","E27","Europe"
"DEU","Germany","DEU","Germany",64,"EUN","E27","Europe"
"DNK","Denmark","DNK","Denmark",67,"EUN","E27","Europe"
"ESP","Spain","ESP","Spain",74,"EUN","E27","Europe"
"EST","Estonia","EST","Estonia",75,"EUN","E27","Europe"
"FIN","Finland","FIN","Finland",77,"EUN","E27","Europe"
"FRA","France","FRA","France",80,"EUN","E27","Europe"
"GRC","Greece","GRC","Greece",93,"EUN","E27","Europe"
"HRV","Croatia","HRV","Croatia",102,"EUN","E27","Europe"
"HUN","Hungary","HUN","Hungary",104,"EUN","E27","Europe"
"IRL","Ireland","IRL","Ireland",109,"EUN","E27","Europe"
"ITA","Italy","ITA","Italy",114,"EUN","E27","Europe"
"LTU","Lituania","LTU","Lithuania",134,"EUN","E27","Europe"
"LUX","Luxembourg","LUX","Luxembourg",135,"EUN","E27","Europe"
"LVA","Latvia","LVA","Latvia",136,"EUN","E27","Europe"
"MLT","Malta","MLT","Malta",148,"EUN","E27","Europe"
"NLD","Netherlands","NLD","Netherlands",168,"EUN","E27","Europe"
"POL","Poland","POL","Poland",181,"EUN","E27","Europe"
"PRT","Portugal","PRT","Portugal",184,"EUN","E27","Europe"
"ROU","Romania","ROU","Romania",190,"EUN","E27","Europe"
"SVK","Slovakia","SVK","Slovakia",211,"EUN","E27","Europe"
"SVN","Slovenia","SVN","Slovenia",212,"EUN","E27","Europe"
"SWE","Sweden","SWE","Sweden",213,"EUN","E27","Europe"
"830","Channel Islands","830","Channel Islands",4,"EUE","Other Europe","Europe"
"ALB","Albania","ALB","Albania",10,"EUE","Other Europe","Europe"
"AND","Andorra","AND","Andorra",11,"EUE","Other Europe","Europe"
"BIH","Bosnia and Herzegovina","BIH","Bosnia & Herzegovina",31,"EUE","Other Europe","Europe"
"BLR","Belarus","BLR","Belarus",33,"EUE","Other Europe","Europe"
"FRO","Faeroe Islands","FRO","Faroe Islands",81,"EUE","Other Europe","Europe"
"GIB","Gibraltar","GIB","Gibraltar",87,"EUE","Other Europe","Europe"
"GRL","Greenland","GRL","Greenland",95,"EUE","Other Europe","Europe"
"IMN","Isle of Man","IMN","Isle of Man",106,"EUE","Other Europe","Europe"
"ISL","Iceland","ISL","Iceland",112,"EUE","Other Europe","Europe"
"LIE","Liechtenstein","LIE","Liechtenstein",131,"EUE","Other Europe","Europe"
"MCO","Monaco","MCO","Monaco",140,"EUE","Other Europe","Europe"
"MDA","Moldova, Republic of","MDA","Moldova",141,"EUE","Other Europe","Europe"
"MKD","FYRMacedonia","MKD","North Macedonia",146,"EUE","Other Europe","Europe"
"MNE","Montenegro","MNE","Montenegro",150,"EUE","Other Europe","Europe"
"SCG","Serbia and Montenegro","SCG","Serbia and Montenegro",194,"EUE","Other Europe","Europe"
"SJM","Svalbard and Jan Mayen","SJM","Svalbard & Jan Mayen",200,"EUE","Other Europe","Europe"
"SRB","Serbia","SRB","Serbia",206,"EUE","Other Europe","Europe"
"VAT","Holy See","VAT","Vatican City",239,"EUE","Other Europe","Europe"
"YUG","Yugoslavia SFR","YUG","Yugoslavia SFR",249,"EUE","Other Europe","Europe"
"MRT","Mauritania","MRT","Mauritania",154,"ANL","Least Developed North Africa","Africa"
"SDN","Sudan","SDN","Sudan",195,"ANL","Least Developed North Africa","Africa"
"DZA","Algeria","DZA","Algeria",69,"AFN","Other North Africa","Africa"
"LBY","Libyan Arab Jamahiriya","LBY","Libya",129,"AFN","Other North Africa","Africa"
"MAR","Morocco","MAR","Morocco",139,"AFN","Other North Africa","Africa"
"TUN","Tunisia","TUN","Tunisia",228,"AFN","Other North Africa","Africa"
"AGO","Angola","AGO","Angola",8,"AFL","LDC Subsaharan Africa","Africa"
"BDI","Burundi","BDI","Burundi",22,"AFL","LDC Subsaharan Africa","Africa"
"BEN","Benin","BEN","Benin",24,"AFL","LDC Subsaharan Africa","Africa"
"BFA","Burkina Faso","BFA","Burkina Faso",26,"AFL","LDC Subsaharan Africa","Africa"
"CAF","Central African Republic","CAF","Central African Republic",42,"AFL","LDC Subsaharan Africa","Africa"
"COD","Democratic Republic of t","COD","Congo - Kinshasa",50,"AFL","LDC Subsaharan Africa","Africa"
"COM","Comoros","COM","Comoros",54,"AFL","LDC Subsaharan Africa","Africa"
"DJI","Djibouti","DJI","Djibouti",65,"AFL","LDC Subsaharan Africa","Africa"
"ERI","Eritrea","ERI","Eritrea",72,"AFL","LDC Subsaharan Africa","Africa"
"GIN","Guinea","GIN","Guinea",88,"AFL","LDC Subsaharan Africa","Africa"
"GMB","Gambia","GMB","Gambia",90,"AFL","LDC Subsaharan Africa","Africa"
"GNB","Guinea-Bissau","GNB","Guinea-Bissau",91,"AFL","LDC Subsaharan Africa","Africa"
"LBR","Liberia","LBR","Liberia",128,"AFL","LDC Subsaharan Africa","Africa"
"LSO","Lesotho","LSO","Lesotho",133,"AFL","LDC Subsaharan Africa","Africa"
