,countries,products,elements,country_codes,,product_codes,,ele_codes,,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,_2026,_2027,_2028,_2029,_2030
AFG_BT_FO..PC,Afghanistan,Bovine,Per-capita food consumption [kg/p/d],2,AFG,19,BT,211,FO..PC,1.027262991,1.020776514,1.033769421,1.031101709,1.074177138,1.060055779,1.05742844,0.849051713,0.826210824,0.808024785,0.806178557,0.81888219,0.830629099,0.842271537,0.852991975,0.863751971,0.874035242,0.883870938,0.893368081,0.902474562,0.91129908
AFG_BV_FO..PC,Afghanistan,Butter,Per-capita food consumption [kg/p/d],2,AFG,14,BV,211,FO..PC,1.868127836,1.891610195,1.933192266,1.890018838,1.864493326,1.849363196,1.856400873,1.84124049,1.811351585,1.77559532,1.774038413,1.773875277,1.77334125,1.77151359,1.770230857,1.769072754,1.767819758,1.766770792,1.76566221,1.764831142,1.764164824
AFG_CN_FO..PC,Afghanistan,Coconuts,Per-capita food consumption [kg/p/d],2,AFG,11,CN,211,FO..PC,0.034718403,0.033660287,0.032576519,0.03151424,0.030526876,0.029641493,0.028855006,0.028145164,0.027492788,0.026875213,0.026277796,0.025697886,0.025138833,0.024600728,0.024084787,0.023591361,0.023119011,0.022665809,0.022230958,0.021813743,0.021413484
AFG_EG_FO..PC,Afghanistan,Eggs,Per-capita food consumption [kg/p/d],2,AFG,20,EG,211,FO..PC,0.348274094,0.363089989,0.391100042,0.405460187,0.417045917,0.38422801,0.359986752,0.398591208,0.404007406,0.403753874,0.409954527,0.415340429,0.421463563,0.427429547,0.43398672,0.440266688,0.446549131,0.452723809,0.459320609,0.465727368,0.472055378
AFG_FH_FO..PC,Afghanistan,Fish,Per-capita food consumption [kg/p/d],2,AFG,21,FH,211,FO..PC,0.266936464,0.266769857,0.269388954,0.268555199,0.273663084,0.274463989,0.276947786,0.278574976,0.275991709,0.270400399,0.266899588,0.266348342,0.266001348,0.265702416,0.265995463,0.266412442,0.266949756,0.268537182,0.268015464,0.269024851,0.269689615
AFG_HFCS_FO..PC,Afghanistan,HFCS,Per-capita food consumption [kg/p/d],2,AFG,8,HFCS,211,FO..PC,3.12466E-06,3.02943E-06,2.93189E-06,2.83628E-06,2.74742E-06,2.66773E-06,2.59695E-06,2.53306E-06,2.47435E-06,2.41877E-06,2.365E-06,2.31281E-06,2.26249E-06,2.21407E-06,2.16763E-06,2.12322E-06,2.08071E-06,2.03992E-06,2.00079E-06,1.96324E-06,1.92721E-06
AFG_MA_FO..PC,Afghanistan,Maize and products,Per-capita food consumption [kg/p/d],2,AFG,1,MA,211,FO..PC,3.250837248,3.198392804,3.177455213,3.214727492,3.203160383,3.128230618,3.189557256,3.207403122,3.018997169,2.961383461,2.93854938,2.914644665,2.894368404,2.874643715,2.857035017,2.840708815,2.82533043,2.811400595,2.798781359,2.787207542,2.777088827
AFG_MK_FO..PC,Afghanistan,Milk and Dairy,Per-capita food consumption [kg/p/d],2,AFG,18,MK,211,FO..PC,4.790765405,4.796575384,4.869527961,4.783731666,5.100217011,4.948717558,4.778854944,5.123111487,5.267974708,5.151785833,5.2298784,5.269973314,5.313218249,5.356650336,5.403910848,5.453535016,5.504825739,5.554514598,5.604087592,5.65215151,5.694736291
AFG_OCG_FO..PC,Afghanistan,Other Coarse Grains,Per-capita food consumption [kg/p/d],2,AFG,3,OCG,211,FO..PC,1.525371159,1.49905484,1.437207204,1.451557757,1.441546873,1.416867424,1.372615206,1.356961726,1.311523853,1.298076279,1.284653978,1.273021601,1.263059817,1.250415574,1.24022336,1.229151799,1.217932902,1.206605703,1.194784794,1.182295616,1.16927342
AFG_OOS_FO..PC,Afghanistan,Other Oilseeds,Per-capita food consumption [kg/p/d],2,AFG,10,OOS,211,FO..PC,0.05857326,0.056312303,0.056586055,0.044762139,0.043427399,0.042185932,0.040963268,0.040085993,0.039259561,0.039028417,0.039096752,0.038971318,0.038941318,0.038926531,0.038890982,0.0388695,0.038856281,0.038853552,0.038852232,0.038855552,0.038863867
AFG_PK_FO..PC,Afghanistan,Ovine,Per-capita food consumption [kg/p/d],2,AFG,16,PK,211,FO..PC,0.019983123,0.020298511,0.020718169,0.021883184,0.023517384,0.024320226,0.023739904,0.024854357,0.024506807,0.023351792,0.023635758,0.023697045,0.023780679,0.023870184,0.023961866,0.024056498,0.024129371,0.024201277,0.024275261,0.024356733,0.024410789
AFG_PS_FO..PC,Afghanistan,Pork,Per-capita food consumption [kg/p/d],2,AFG,6,PS,211,FO..PC,2.388797244,2.00340285,2.016559573,2.308680017,2.310252341,2.317282786,2.330432123,2.347699043,2.368666137,2.391490199,2.401631998,2.406207208,2.405290074,2.409049792,2.409775663,2.412253952,2.415596622,2.418740056,2.422453546,2.426041851,2.430215082
AFG_PT_FO..PC,Afghanistan,Poultry,Per-capita food consumption [kg/p/d],2,AFG,17,PT,211,FO..PC,1.63373548,1.670942757,1.751965824,1.828010598,1.92929374,1.993676108,1.990328587,1.943368515,1.910283443,1.862221495,1.867699542,1.872985473,1.877483352,1.881401874,1.885512139,1.88940694,1.892566988,1.895883539,1.898675812,1.90162575,1.904572537
AFG_RI_FO..PC,Afghanistan,Pulses,Per-capita food consumption [kg/p/d],2,AFG,4,RI,211,FO..PC,19.67729765,19.53645667,19.18087325,18.86322501,18.55648583,18.27736587,18.02993354,17.77295601,17.58236744,17.47158675,17.33850853,17.12627365,16.87738698,16.5893253,16.41156916,16.22849913,16.05109897,15.88363592,15.71749924,15.55833056,15.3940095
AFG_RT_FO..PC,Afghanistan,Rice and products,Per-capita food consumption [kg/p/d],2,AFG,5,RT,211,FO..PC,1.438227728,1.4653075,1.388529967,1.410428958,1.407011363,1.406790352,1.410864962,1.416152214,1.424045506,1.433057832,1.447674604,1.459153223,1.472361887,1.484507577,1.497730418,1.51032749,1.522691429,1.53477696,1.546073329,1.556905674,1.566572936
AFG_SB_FO..PC,Afghanistan,Roots and Tubers,Per-capita food consumption [kg/p/d],2,AFG,9,SB,211,FO..PC,0.06804807,0.065974163,0.063849977,0.061767909,0.059832677,0.058097326,0.056555812,0.055164522,0.053885864,0.052675417,0.051504481,0.050367856,0.049272113,0.048217427,0.047206183,0.046239067,0.045313262,0.044424986,0.043572678,0.042754936,0.041970429
AFG_SH_FO..PC,Afghanistan,Soybeans,Per-capita food consumption [kg/p/d],2,AFG,15,SH,211,FO..PC,3.995214499,4.056646365,3.94843142,3.879913424,3.927459211,3.932837349,3.883492803,4.025304443,3.988556675,3.926154558,3.871520553,3.850105246,3.830649482,3.817952162,3.804120801,3.791252797,3.777773298,3.763599524,3.750756792,3.738679405,3.722992499
AFG_SU_FO..PC,Afghanistan,Sugar,Per-capita food consumption [kg/p/d],2,AFG,7,SU,211,FO..PC,7.439116353,7.707537298,7.961671327,8.16004111,8.316696676,8.428594218,8.814655036,9.012972386,9.236430961,9.513562912,9.79355845,10.1027583,10.42976524,10.74655407,11.0731976,11.41938997,11.79385735,12.1731582,12.55276722,12.94866423,13.35644742
AFG_VL_FO..PC,Afghanistan,Vegetable Oils,Per-capita food consumption [kg/p/d],2,AFG,12,VL,211,FO..PC,3.239770948,3.714450566,3.657147824,3.559205994,4.091532901,4.076137379,4.334097457,4.50599418,4.600615436,4.577056878,4.635561356,4.680070824,4.727857064,4.780295331,4.825787587,4.867351824,4.91027919,4.952970989,4.994619082,5.035464126,5.074878889
AFG_WT_FO..PC,Afghanistan,Wheat and products,Per-capita food consumption [kg/p/d],2,AFG,2,WT,211,FO..PC,148.9094516,145.7025037,146.8409302,148.2470782,151.2084906,155.2288589,158.1049094,162.571277,162.4178439,162.3846834,161.8775735,161.5899424,161.2795028,160.9289867,160.7262381,160.5932082,160.5256119,160.5352084,160.610543,160.745124,160.9539882
AGO_BT_FO..PC,Angola,Bovine,Per-capita food consumption [kg/p/d],7,AGO,19,BT,211,FO..PC,0.28769498,0.276929341,0.273159068,0.265392123,0.289660104,0.294848378,0.253239521,0.246408068,0.235634512,0.227214399,0.225092362,0.222125313,0.219109653,0.216337015,0.213437589,0.210715763,0.207995579,0.205309767,0.202663552,0.200027893,0.197425181
AGO_BV_FO..PC,Angola,Butter,Per-capita food consumption [kg/p/d],7,AGO,14,BV,211,FO..PC,4.956363903,5.016313752,5.128149767,5.11494799,5.264129929,5.302071734,5.0647495,5.085681334,4.88068388,4.717550806,4.659068497,4.620568354,4.583896378,4.544185364,4.505530062,4.471527173,4.433876003,4.398585847,4.364188767,4.33188113,4.301367425
AGO_CN_FO..PC,Angola,Coconuts,Per-capita food consumption [kg/p/d],7,AGO,11,CN,211,FO..PC,0.042791493,0.041290639,0.039846749,0.038463994,0.037146458,0.03589465,0.034705999,0.033574856,0.032494747,0.031458841,0.030462355,0.029503325,0.028580982,0.027693867,0.026840791,0.02602052,0.025231641,0.02447277,0.02374278,0.02304061,0.02236522
AGO_EG_FO..PC,Angola,Eggs,Per-capita food consumption [kg/p/d],7,AGO,20,EG,211,FO..PC,0.149669641,0.150813166,0.154266646,0.147632254,0.146042023,0.136022399,0.126372768,0.121542873,0.118647442,0.115912322,0.114444719,0.113112339,0.11202254,0.111148805,0.110362146,0.109566854,0.108812979,0.108067756,0.107374611,0.10668866,0.106055536
AGO_FH_FO..PC,Angola,Fish,Per-capita food consumption [kg/p/d],7,AGO,21,FH,211,FO..PC,16.87546532,17.71337369,18.37331533,18.59347797,18.93126173,18.27044206,17.90820282,19.07627387,18.0081179,17.37850038,16.8780993,16.59965921,16.38066588,16.19651678,15.9844413,15.79762047,15.60398577,15.46932051,15.31397958,15.12693932,15.01290541
AGO_HFCS_FO..PC,Angola,HFCS,Per-capita food consumption [kg/p/d],7,AGO,8,HFCS,211,FO..PC,0.00043151,0.000416376,0.000401816,0.000387872,0.000374586,0.000361963,0.000349976,0.00033857,0.000327678,0.000317232,0.000307183,0.000297512,0.000288211,0.000279266,0.000270663,0.000262392,0.000254436,0.000246784,0.000239423,0.000232342,0.000225531
AGO_MA_FO..PC,Angola,Maize and products,Per-capita food consumption [kg/p/d],7,AGO,1,MA,211,FO..PC,43.11997945,43.45151939,43.37690142,43.35084297,43.41467627,43.20221493,42.69375504,42.27133789,42.35219748,42.01522894,41.93151943,41.81335512,41.7160167,41.61559829,41.52223641,41.42952158,41.33157906,41.23528041,41.1405191,41.04401874,40.95054272
