ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,countries,products,elements,,,,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,2018A,2019A,2020A,2021A,2022A,2023A,2024A,2025A,2026A,2027A,2028A,2029A,2030A
AFG_BT_fo..pc,Afghanistan,Butter,Per-capita food consumption [kg/p/year],AFG,BT,FO..PC,1.173412593,1.123950655,1.145976781,1.130762428,1.051284555,0.929478518,0.899180947,0.847868556,0.826792436,0.807455975,0.805325854,0.818840309,0.832173508,0.846104258,0.859711365,0.873084015,0.885693705,0.897567254,0.908796491,0.91930848,0.929194726
AFG_BV_fo..pc,Afghanistan,Beef and Veal,Per-capita food consumption [kg/p/year],AFG,BV,FO..PC,3.241931585,3.314259214,3.498933132,3.090314689,2.944088238,2.602013259,2.237267142,1.96895971,1.852307327,1.735448049,1.733427252,1.735574009,1.739042123,1.742650793,1.748095371,1.752771824,1.756477389,1.759548434,1.761712353,1.763292375,1.764164112
AFG_EG_fo..pc,Afghanistan,Eggs,Per-capita food consumption [kg/p/year],AFG,EG,FO..PC,0.454311137,0.488421399,0.485248092,0.47951271,0.461856772,0.447195199,0.406305419,0.392758135,0.401584907,0.406174853,0.411885435,0.417354594,0.423863907,0.430496956,0.438055061,0.445071388,0.451819387,0.458182047,0.464677789,0.470667403,0.476245682
AFG_FH_fo..pc,Afghanistan,Fish,Per-capita food consumption [kg/p/year],AFG,FH,FO..PC,0.113147276,0.134944092,0.15571576,0.175219172,0.194150931,0.21341875,0.232282801,0.25330648,0.276302516,0.270095888,0.266125463,0.265456723,0.265173798,0.265109652,0.265832494,0.266502032,0.267116741,0.268609534,0.267815265,0.268367954,0.268387744
AFG_MA_fo..pc,Afghanistan,Maize,Per-capita food consumption [kg/p/year],AFG,MA,FO..PC,3.124656291,3.096746437,3.029616255,3.056881233,2.991633847,2.964149309,3.000920655,2.983387427,3.024206648,2.956273399,2.954311885,2.952912428,2.956215913,2.961077454,2.968669463,2.976699995,2.984910462,2.993942155,3.003670309,3.013808526,3.024793961
AFG_MK_fo..pc,Afghanistan,Milk,Per-capita food consumption [kg/p/year],AFG,MK,FO..PC,4.038799831,3.896358792,4.385133853,4.134374003,5.863624306,5.119949917,4.776312839,4.501672692,5.306977981,5.113642804,5.187389622,5.230651298,5.281170552,5.33585564,5.398329303,5.461028725,5.523247358,5.581715055,5.637809807,5.690001811,5.734173907
AFG_OCG_fo..pc,Afghanistan,Other Coarse Grains,Per-capita food consumption [kg/p/year],AFG,OCG,FO..PC,1.742876341,1.696490601,1.710278968,1.59148044,1.343193533,1.482085325,1.500470715,1.632429668,1.319663707,1.290019886,1.286825028,1.286527146,1.288273284,1.287504452,1.289309737,1.289686592,1.289408327,1.288565288,1.286747922,1.283760597,1.279735919
AFG_OOS_fo..pc,Afghanistan,Other Oilseeds,Per-capita food consumption [kg/p/year],AFG,OOS,FO..PC,0.049994501,0.048470814,0.046910187,0.045380505,0.043958701,0.04268375,0.041551209,0.040529037,0.039589614,0.038700306,0.039125992,0.039383067,0.039743396,0.040122129,0.04048224,0.040841099,0.041193087,0.041542275,0.041878774,0.042205741,0.04252311
AFG_PK_fo..pc,Afghanistan,Pork,Per-capita food consumption [kg/p/year],AFG,PK,FO..PC,0.10968238,0.087516747,0.079304278,0.067969912,0.045155355,0.029356935,0.022783913,0.023214132,0.024193653,0.023650187,0.023952949,0.024071392,0.024230755,0.024408362,0.02460469,0.024789876,0.024938374,0.025072214,0.025194367,0.025310313,0.025383598
AFG_PS_fo..pc,Afghanistan,Pulses,Per-capita food consumption [kg/p/year],AFG,PS,FO..PC,2.277596689,2.723756793,2.040756025,2.344785477,2.339572466,2.339973123,2.346321336,2.357352694,2.371881607,2.388243745,2.417050923,2.441561405,2.461018546,2.485700098,2.507642224,2.530614767,2.553745765,2.57596446,2.598036427,2.619149548,2.63999858
AFG_PT_fo..pc,Afghanistan,Poultry,Per-capita food consumption [kg/p/year],AFG,PT,FO..PC,2.495194281,1.96570356,1.830992562,1.677348549,1.585425515,1.901721129,1.932313008,2.016699538,1.947264666,1.826170704,1.832685851,1.842038751,1.851865094,1.86191178,1.873256714,1.883264889,1.891419858,1.898657302,1.904285023,1.908977521,1.912564066
AFG_RI_fo..pc,Afghanistan,Rice,Per-capita food consumption [kg/p/year],AFG,RI,FO..PC,21.3255188,21.36062313,21.0635927,20.68604136,20.48101838,19.46462888,21.58938208,18.50254383,17.43362757,17.61938946,17.61529508,17.53527819,17.41638437,17.25503824,17.20695237,17.14433325,17.07910776,17.01633796,16.94664006,16.8756977,16.79002652
AFG_RT_fo..pc,Afghanistan,Roots tubers,Per-capita food consumption [kg/p/year],AFG,RT,FO..PC,1.333533868,1.13734745,1.279670814,1.449623503,1.438950342,1.431651744,1.427876168,1.426799007,1.427658616,1.429421856,1.403357202,1.425275804,1.449346142,1.472864779,1.497916192,1.522071673,1.545721843,1.568820037,1.590781823,1.611857841,1.631242188
AFG_SH_fo..pc,Afghanistan,Sheep,Per-capita food consumption [kg/p/year],AFG,SH,FO..PC,4.926083136,4.877012108,4.56207434,4.265625646,4.24550391,4.163826494,3.998654635,4.042923399,3.990088764,3.924646439,3.866367408,3.845529962,3.829112842,3.821652147,3.815112786,3.807762718,3.798071518,3.78600951,3.773597093,3.760237337,3.741511924
AFG_SU_fo..pc,Afghanistan,Sugar,Per-capita food consumption [kg/p/year],AFG,SU,FO..PC,7.464456696,7.506244082,7.557752378,8.067645315,8.272783394,8.447827848,8.685356896,9.006452609,9.210083882,9.540700515,9.802176309,10.10378234,10.4300128,10.75341813,11.09497997,11.45014669,11.8272011,12.20211416,12.56949152,12.94437558,13.32137796
AFG_VL_fo..pc,Afghanistan,Vegetable oils,Per-capita food consumption [kg/p/year],AFG,VL,FO..PC,5.479030854,5.603856438,5.026761732,5.395660242,5.59033992,5.093217517,4.965677725,4.757084143,4.639908871,4.537964656,4.672627626,4.714820805,4.763636177,4.820434409,4.87382266,4.920308987,4.965201219,5.006859883,5.044313549,5.077632873,5.106042682
AFG_WT_fo..pc,Afghanistan,Wheat,Per-capita food consumption [kg/p/year],AFG,WT,FO..PC,158.5415884,159.300676,160.2764728,161.8256199,162.4029803,162.2278917,163.1462056,162.6790502,162.2074475,162.5950369,162.755353,163.1666296,163.5621936,163.9261531,164.4478149,165.0052425,165.5968684,166.2367571,166.9118385,167.6129262,168.3534617
AGO_BT_fo..pc,Angola,Butter,Per-capita food consumption [kg/p/year],AGO,BT,FO..PC,0.04814043,0.054421062,0.078777022,0.071966134,0.310210074,0.284931734,0.26852031,0.253053689,0.235164482,0.227667633,0.222674478,0.217909558,0.212142066,0.208012333,0.203520202,0.199192549,0.194863514,0.190566705,0.186307522,0.182059835,0.177845249
AGO_BV_fo..pc,Angola,Beef and Veal,Per-capita food consumption [kg/p/year],AGO,BV,FO..PC,5.649332908,6.084031128,6.4596202,6.587259072,8.821069181,6.02610517,4.977201128,5.432039003,4.908656442,4.690513206,4.591553267,4.534874795,4.477758462,4.430422098,4.378786587,4.330681944,4.27807413,4.226799155,4.175413613,4.125027737,4.07531846
AGO_EG_fo..pc,Angola,Eggs,Per-capita food consumption [kg/p/year],AGO,EG,FO..PC,0.190139951,0.182581163,0.179984465,0.170764644,0.162543989,0.149971346,0.138325839,0.127111386,0.119732862,0.114851923,0.112365578,0.110645475,0.109237721,0.107963211,0.10651965,0.105021926,0.103517968,0.101976636,0.100438268,0.098859945,0.097283353
AGO_FH_fo..pc,Angola,Fish,Per-capita food consumption [kg/p/year],AGO,FH,FO..PC,15.73074184,19.61202718,23.70197677,23.15642042,26.38012876,22.7414832,19.54378526,21.06059017,17.81389829,17.5659295,17.0319763,16.688452,16.4122608,16.16686279,15.86395952,15.58155761,15.2878547,15.04713068,14.78122981,14.48006894,14.24381869
AGO_MA_fo..pc,Angola,Maize,Per-capita food consumption [kg/p/year],AGO,MA,FO..PC,35.69760489,35.18966211,37.48981359,38.80513164,40.59755012,42.60336047,41.61249221,41.46494703,42.24317076,42.12338821,42.00491212,41.91957901,41.86112077,41.79908308,41.70887796,41.61008638,41.49660103,41.37545392,41.24624087,41.10538333,40.95727762
AGO_MK_fo..pc,Angola,Milk,Per-capita food consumption [kg/p/year],AGO,MK,FO..PC,1.644930215,1.878947296,1.787290213,3.184397007,1.332236529,1.985962199,1.473088566,1.441996009,1.324398774,1.402854151,1.389096984,1.375097101,1.364248726,1.358704508,1.349517558,1.340333164,1.330630817,1.320841621,1.310811688,1.300442135,1.289818704
AGO_OCG_fo..pc,Angola,Other Coarse Grains,Per-capita food consumption [kg/p/year],AGO,OCG,FO..PC,4.300988368,4.10409792,2.226268138,2.462594165,2.737335892,2.707869448,3.637201137,3.851048058,2.973281024,2.17067136,2.150426733,2.134158388,2.114184926,2.098068932,2.081256803,2.06403638,2.046885787,2.029793349,2.012431064,1.994852691,1.97691303
AGO_OOS_fo..pc,Angola,Other Oilseeds,Per-capita food consumption [kg/p/year],AGO,OOS,FO..PC,0.559969478,0.540329301,0.521434555,0.503339832,0.486098555,0.469717394,0.454162696,0.439360564,0.425226256,0.411670394,0.40848556,0.404942864,0.402025155,0.399037382,0.395690055,0.392276765,0.388761442,0.385193023,0.38149419,0.377713969,0.373836809
AGO_PK_fo..pc,Angola,Pork,Per-capita food consumption [kg/p/year],AGO,PK,FO..PC,5.427296409,6.464033007,6.992275599,7.212860557,7.905836166,6.385026547,5.327815007,5.670202243,5.718971442,5.536655362,5.567737469,5.58491715,5.59351921,5.598196051,5.584441738,5.570012651,5.552722441,5.532420196,5.50409321,5.480291865,5.447662646
AGO_PS_fo..pc,Angola,Pulses,Per-capita food consumption [kg/p/year],AGO,PS,FO..PC,7.286877763,7.539918411,7.353398714,7.40224188,10.51039162,10.46088504,10.41790685,10.38071606,10.34816956,10.31882671,10.30260602,10.28353031,10.24068163,10.20806593,10.14731099,10.08488738,10.01912831,9.946588266,9.871075226,9.789423778,9.704972935
AGO_PT_fo..pc,Angola,Poultry,Per-capita food consumption [kg/p/year],AGO,PT,FO..PC,10.57321736,12.08572459,12.54387207,12.8813802,14.08749718,8.840249344,8.010036866,9.66735263,10.80375916,9.683031285,9.714391309,9.773250799,9.82104212,9.857744484,9.869783925,9.865763911,9.844520307,9.810601099,9.765676459,9.708614536,9.641012894
AGO_RI_fo..pc,Angola,Rice,Per-capita food consumption [kg/p/year],AGO,RI,FO..PC,9.787116234,12.11186157,12.60939607,18.54076079,18.62947265,17.14023754,16.79146661,15.85139454,16.12896251,16.23637977,16.64422135,16.83358026,16.95394484,17.03898298,17.26912327,17.4869133,17.70396992,17.92646339,18.14887007,18.37330014,18.59357349
