ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTPUT,0",countries,products,elements,,,,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,2018A,2019A,2020A,2021A,2022A,2023A,2024A,2025A,2026A,2027A,2028A,2029A,2030A
AFG_BT_fo..pc,Afghanistan,Butter,Per-capita food consumption [kg/p/year],AFG,BT,FO..PC,1.173412593,1.123950655,1.145976781,1.130762428,1.051284555,0.929478518,0.899180947,0.847868556,0.826792436,0.807455975,0.805558711,0.819307519,0.832844227,0.846774841,0.860373378,0.873773525,0.886436485,0.898346928,0.909594121,0.92007049,0.929942902
AFG_BV_fo..pc,Afghanistan,Beef and Veal,Per-capita food consumption [kg/p/year],AFG,BV,FO..PC,3.241931585,3.314259214,3.498933132,3.090314689,2.944088238,2.602013259,2.237267142,1.96895971,1.852307327,1.735448049,1.73483694,1.737776632,1.742500441,1.746912642,1.752439384,1.757338395,1.761508023,1.76499601,1.767357971,1.769143618,1.77030948
AFG_EG_fo..pc,Afghanistan,Eggs,Per-capita food consumption [kg/p/year],AFG,EG,FO..PC,0.454311137,0.488421399,0.485248092,0.47951271,0.461856772,0.447195199,0.406305419,0.392758135,0.401584907,0.406174853,0.412768162,0.418286925,0.424896729,0.431592593,0.439251706,0.446359956,0.453205136,0.459661931,0.466185075,0.472271105,0.477871748
AFG_FH_fo..pc,Afghanistan,Fish,Per-capita food consumption [kg/p/year],AFG,FH,FO..PC,0.113147276,0.134944092,0.15571576,0.175219172,0.194150931,0.21341875,0.232282801,0.25330648,0.276302516,0.270095888,0.268028628,0.26837307,0.26934996,0.270561742,0.272514124,0.274465032,0.276359075,0.279059109,0.279893352,0.281788407,0.283512383
AFG_MA_fo..pc,Afghanistan,Maize,Per-capita food consumption [kg/p/year],AFG,MA,FO..PC,3.124656291,3.096746437,3.029616255,3.056881233,2.991633847,2.964149309,3.000920655,2.983387427,3.024206648,2.956273399,2.954955183,2.953834953,2.95727707,2.962006007,2.96965914,2.977725342,2.98603674,2.995141907,3.004843095,3.014983718,3.025928598
AFG_MK_fo..pc,Afghanistan,Milk,Per-capita food consumption [kg/p/year],AFG,MK,FO..PC,4.038799831,3.896358792,4.385133853,4.134374003,5.863624306,5.119949917,4.776312839,4.501672692,5.306977981,5.113642804,5.190470927,5.234414584,5.285670713,5.340506759,5.403218883,5.466217228,5.528803025,5.587617541,5.643788848,5.696230692,5.740422997
AFG_OCG_fo..pc,Afghanistan,Other Coarse Grains,Per-capita food consumption [kg/p/year],AFG,OCG,FO..PC,1.742876341,1.696490601,1.710278968,1.59148044,1.343193533,1.482085325,1.500470715,1.632429668,1.319663707,1.290019886,1.286945898,1.286658374,1.288441584,1.287672132,1.289512087,1.289907101,1.289640575,1.288814558,1.286941464,1.283927708,1.27981275
AFG_OOS_fo..pc,Afghanistan,Other Oilseeds,Per-capita food consumption [kg/p/year],AFG,OOS,FO..PC,0.049994501,0.048470814,0.046910187,0.045380505,0.043958701,0.04268375,0.041551209,0.040529037,0.039589614,0.038700306,0.039109296,0.039372919,0.039734312,0.040118118,0.040478521,0.040837979,0.041190246,0.041540983,0.041878962,0.042207399,0.042526492
AFG_PK_fo..pc,Afghanistan,Pork,Per-capita food consumption [kg/p/year],AFG,PK,FO..PC,0.10968238,0.087516747,0.079304278,0.067969912,0.045155355,0.029356935,0.022783913,0.023214132,0.024193653,0.023650187,0.023989093,0.024136403,0.024288009,0.024480993,0.024676449,0.024869235,0.025022536,0.025162764,0.025288009,0.025407781,0.025485444
AFG_PS_fo..pc,Afghanistan,Pulses,Per-capita food consumption [kg/p/year],AFG,PS,FO..PC,2.277596689,2.723756793,2.040756025,2.344785477,2.339572466,2.339973123,2.346321336,2.357352694,2.371881607,2.388243745,2.418626387,2.443415826,2.463395956,2.488426938,2.51081322,2.534147219,2.557664495,2.580238826,2.602573173,2.623980208,2.645092581
