"","iso3","country","nutrient","nutrient_units","scenario","year","intake_orig","intake","intake_diff","intake_diff_cap"
"1","AFG","Afghanistan","Calcium","mg/p/d","Base",2030,348.911932611,350.091825501716,1.17989289071647,2.86580202357046
"2","AFG","Afghanistan","Calcium","mg/p/d","High road",2030,349.304912312,350.589977333129,1.28506502112896,2.86580202357046
"3","AFG","Afghanistan","Iron","mg/p/d","Base",2030,20.038027089,20.0435843898471,0.00555730084706241,0.0376686771562463
"4","AFG","Afghanistan","Iron","mg/p/d","High road",2030,20.057988601,20.0639001379977,0.00591153699765457,0.0376686771562463
"5","AFG","Afghanistan","Omega-3 fatty acids","g/p/d","Base",2030,0,0.00557033953511077,0.00557033953511077,0.00680064195354117
"6","AFG","Afghanistan","Omega-3 fatty acids","g/p/d","High road",2030,0,0.00589869521432142,0.00589869521432142,0.00680064195354117
"7","AFG","Afghanistan","Protein","g/p/d","Base",2030,55.423182236,55.4409448151506,0.0177625791506415,0.0177625791506415
"8","AFG","Afghanistan","Protein","g/p/d","High road",2030,55.490880886,55.5099307823768,0.0190498963767851,0.0190498963767851
"9","AFG","Afghanistan","Vitamin A, RAE","mg/p/d retinol","Base",2030,218.265502312,217.991616370277,-0.273885941722682,-0.273885941722682
"10","AFG","Afghanistan","Vitamin A, RAE","mg/p/d retinol","High road",2030,218.561662905,218.272432830002,-0.289230074997619,-0.289230074997619
"11","AFG","Afghanistan","Vitamin B-12","ug/p/d","Base",2030,2.073839869,2.08159633044115,0.00775646144115205,0.00775646144115205
"12","AFG","Afghanistan","Vitamin B-12","ug/p/d","High road",2030,2.077655016,2.08595641454989,0.00830139854988854,0.00830139854988854
"13","AFG","Afghanistan","Zinc","mg/p/d","Base",2030,5.122886964,5.13321355719632,0.0103265931963197,0.0289204612774288
"14","AFG","Afghanistan","Zinc","mg/p/d","High road",2030,5.129013924,5.13994662622157,0.0109327022215684,0.0289204612774288
"15","ALB","Albania","Calcium","mg/p/d","Base",2030,1984.11893802,2012.51049051032,28.3915524903202,28.3915524903202
"16","ALB","Albania","Calcium","mg/p/d","High road",2030,1981.611758539,2013.38930473146,31.7775461924609,31.7775461924609
"17","ALB","Albania","Iron","mg/p/d","Base",2030,27.723583002,28.1847058002558,0.461122798255797,0.461122798255797
"18","ALB","Albania","Iron","mg/p/d","High road",2030,27.723496494,28.2458774031706,0.522380909170554,0.522380909170554
"19","ALB","Albania","Omega-3 fatty acids","g/p/d","Base",2030,0.031999929,0.244200747131216,0.212200818131216,0.212200818131216
"20","ALB","Albania","Omega-3 fatty acids","g/p/d","High road",2030,0.036196436,0.272904440978905,0.236708004978905,0.236708004978905
"21","ALB","Albania","Protein","g/p/d","Base",2030,125.923733763,128.927486863911,3.00375310091118,3.00375310091118
"22","ALB","Albania","Protein","g/p/d","High road",2030,126.022957098,129.413878504302,3.39092140630177,3.39092140630177
"23","ALB","Albania","Vitamin A, RAE","mg/p/d retinol","Base",2030,1533.175151942,1530.51892269216,-2.656229249837,-2.656229249837
"24","ALB","Albania","Vitamin A, RAE","mg/p/d retinol","High road",2030,1531.391721881,1528.39045329989,-3.00126858111162,-3.00126858111162
"25","ALB","Albania","Vitamin B-12","ug/p/d","Base",2030,11.133763442,11.5761340838938,0.442370641893799,0.442370641893799
"26","ALB","Albania","Vitamin B-12","ug/p/d","High road",2030,11.166858503,11.6649411777333,0.498082674733276,0.498082674733276
"27","ALB","Albania","Zinc","mg/p/d","Base",2030,14.901514637,15.2269329162897,0.325418279289746,0.325418279289746
"28","ALB","Albania","Zinc","mg/p/d","High road",2030,14.887396727,15.2568185438583,0.36942181685826,0.36942181685826
"29","DZA","Algeria","Calcium","mg/p/d","Base",2030,995.834770218,1029.05137188625,33.2166016682465,33.2166016682465
"30","DZA","Algeria","Calcium","mg/p/d","High road",2030,990.530592541,1030.81551795699,40.2849254159892,40.2849254159892
"31","DZA","Algeria","Iron","mg/p/d","Base",2030,29.153771048,29.3955425067165,0.241771458716457,0.241771458716457
"32","DZA","Algeria","Iron","mg/p/d","High road",2030,29.108536018,29.4012999391252,0.292763921125193,0.292763921125193
"33","DZA","Algeria","Omega-3 fatty acids","g/p/d","Base",2030,0.016780369,0.159605561540335,0.142825192540335,0.142825192540335
"34","DZA","Algeria","Omega-3 fatty acids","g/p/d","High road",2030,0.020302519,0.193475646632675,0.173173127632675,0.173173127632675
"35","DZA","Algeria","Protein","g/p/d","Base",2030,95.318318463,95.8839502144602,0.565631751460188,0.565631751460188
"36","DZA","Algeria","Protein","g/p/d","High road",2030,95.24849242,95.9343105704507,0.685818150450729,0.685818150450729
"37","DZA","Algeria","Vitamin A, RAE","mg/p/d retinol","Base",2030,754.798725997,753.552628927578,-1.24609706942249,-1.24609706942249
"38","DZA","Algeria","Vitamin A, RAE","mg/p/d retinol","High road",2030,751.486142719,749.97774618618,-1.50839653281957,-1.50839653281957
"39","DZA","Algeria","Vitamin B-12","ug/p/d","Base",2030,4.321111424,4.6541716547745,0.333060230774501,0.333060230774501
"40","DZA","Algeria","Vitamin B-12","ug/p/d","High road",2030,4.322803968,4.72741082916938,0.404606861169385,0.404606861169385
"41","DZA","Algeria","Zinc","mg/p/d","Base",2030,10.504158606,10.6593542514001,0.155195645400111,0.155195645400111
"42","DZA","Algeria","Zinc","mg/p/d","High road",2030,10.468233771,10.6564895934587,0.18825582245875,0.18825582245875
"43","AGO","Angola","Calcium","mg/p/d","Base",2030,259.34950608,297.833296209864,38.4837901298644,38.4837901298644
"44","AGO","Angola","Calcium","mg/p/d","High road",2030,260.075127391,300.537955669441,40.462828278441,40.462828278441
"45","AGO","Angola","Iron","mg/p/d","Base",2030,12.908007765,13.7120768437706,0.80406907877056,0.80406907877056
"46","AGO","Angola","Iron","mg/p/d","High road",2030,12.937212543,13.775440905501,0.838228362500951,0.838228362500951
"47","AGO","Angola","Omega-3 fatty acids","g/p/d","Base",2030,0.103231205,0.317969835421167,0.214738630421167,0.214738630421167
"48","AGO","Angola","Omega-3 fatty acids","g/p/d","High road",2030,0.108168679,0.33221758867761,0.22404890967761,0.22404890967761
"49","AGO","Angola","Protein","g/p/d","Base",2030,50.202456313,48.6948196322146,-1.50763668078541,-0.425561440060682
"50","AGO","Angola","Protein","g/p/d","High road",2030,50.642981099,49.0705193154253,-1.57246178357475,-0.425561440060682
"51","AGO","Angola","Vitamin A, RAE","mg/p/d retinol","Base",2030,791.62781442,786.549880639425,-5.07793378057545,-5.07793378057545
"52","AGO","Angola","Vitamin A, RAE","mg/p/d retinol","High road",2030,792.809330081,787.486488298274,-5.32284178272619,-5.32284178272619
"53","AGO","Angola","Vitamin B-12","ug/p/d","Base",2030,3.388797606,3.73489434456408,0.34609673856408,0.34609673856408
