"iso3c","year","units","scenario","nutrient","nutrient_supply_dis","nutrient_supply"
"AFG","2010","g/p/d","base","Omega-3 fatty acids",0.248283013021151,0.24
"AFG","2010","g/p/d","base","Protein",114.504033457305,114.5
"AFG","2010","g/p/d","high","Omega-3 fatty acids",0.248283013021151,0.24
"AFG","2010","g/p/d","high","Protein",114.504033457305,114.5
"AFG","2010","mg/p/d","base","Calcium",622.18282233945,621.67
"AFG","2010","mg/p/d","base","Iron",40.4448065165252,40.43
"AFG","2010","mg/p/d","base","Zinc",11.2090675034768,11.2
"AFG","2010","mg/p/d","high","Calcium",622.18282233945,621.67
"AFG","2010","mg/p/d","high","Iron",40.4448065165252,40.43
"AFG","2010","mg/p/d","high","Zinc",11.2090675034768,11.2
"AFG","2010","mg/p/d retinol","base","Vitamin A",459.797824265488,459.62
"AFG","2010","mg/p/d retinol","high","Vitamin A",459.797824265488,459.62
"AFG","2010","ug/p/d","base","Vitamin B12",5.31211793341467,5.29
"AFG","2010","ug/p/d","high","Vitamin B12",5.31211793341467,5.29
"AFG","2011","g/p/d","base","Omega-3 fatty acids",0.237816099387375,0.23
"AFG","2011","g/p/d","base","Protein",116.412114990537,116.41
"AFG","2011","g/p/d","high","Omega-3 fatty acids",0.237816099387375,0.23
"AFG","2011","g/p/d","high","Protein",116.412114990537,116.41
"AFG","2011","mg/p/d","base","Calcium",625.338277530134,624.86
"AFG","2011","mg/p/d","base","Iron",40.8039718728494,40.79
"AFG","2011","mg/p/d","base","Zinc",11.3285563680981,11.32
"AFG","2011","mg/p/d","high","Calcium",625.338277530134,624.86
"AFG","2011","mg/p/d","high","Iron",40.8039718728494,40.79
"AFG","2011","mg/p/d","high","Zinc",11.3285563680981,11.32
"AFG","2011","mg/p/d retinol","base","Vitamin A",449.473290705735,449.31
"AFG","2011","mg/p/d retinol","high","Vitamin A",449.473290705735,449.31
"AFG","2011","ug/p/d","base","Vitamin B12",5.37087114500134,5.35
"AFG","2011","ug/p/d","high","Vitamin B12",5.37087114500134,5.35
"AFG","2012","g/p/d","base","Omega-3 fatty acids",0.237444983926729,0.23
"AFG","2012","g/p/d","base","Protein",118.510590141771,118.51
"AFG","2012","g/p/d","high","Omega-3 fatty acids",0.237444983926729,0.23
"AFG","2012","g/p/d","high","Protein",118.510590141771,118.51
"AFG","2012","mg/p/d","base","Calcium",678.930820390538,678.47
"AFG","2012","mg/p/d","base","Iron",40.9033084757032,40.89
"AFG","2012","mg/p/d","base","Zinc",11.5581501040102,11.55
"AFG","2012","mg/p/d","high","Calcium",678.930820390538,678.47
"AFG","2012","mg/p/d","high","Iron",40.9033084757032,40.89
"AFG","2012","mg/p/d","high","Zinc",11.5581501040102,11.55
"AFG","2012","mg/p/d retinol","base","Vitamin A",440.941739043217,440.79
"AFG","2012","mg/p/d retinol","high","Vitamin A",440.941739043217,440.79
"AFG","2012","ug/p/d","base","Vitamin B12",5.3998801641799,5.38
"AFG","2012","ug/p/d","high","Vitamin B12",5.3998801641799,5.38
"AFG","2013","g/p/d","base","Omega-3 fatty acids",0.236913104174123,0.23
"AFG","2013","g/p/d","base","Protein",116.36840474054,116.37
"AFG","2013","g/p/d","high","Omega-3 fatty acids",0.236913104174123,0.23
"AFG","2013","g/p/d","high","Protein",116.36840474054,116.37
"AFG","2013","mg/p/d","base","Calcium",653.78146903452,653.36
"AFG","2013","mg/p/d","base","Iron",40.4023577001428,40.39
"AFG","2013","mg/p/d","base","Zinc",11.2875678495222,11.28
"AFG","2013","mg/p/d","high","Calcium",653.78146903452,653.36
"AFG","2013","mg/p/d","high","Iron",40.4023577001428,40.39
"AFG","2013","mg/p/d","high","Zinc",11.2875678495222,11.28
"AFG","2013","mg/p/d retinol","base","Vitamin A",429.155183291561,429.02
"AFG","2013","mg/p/d retinol","high","Vitamin A",429.155183291561,429.02
"AFG","2013","ug/p/d","base","Vitamin B12",5.16845989827874,5.15
"AFG","2013","ug/p/d","high","Vitamin B12",5.16845989827874,5.15
"AFG","2014","g/p/d","base","Omega-3 fatty acids",0.196954065042617,0.19
"AFG","2014","g/p/d","base","Protein",111.748573041612,111.79
"AFG","2014","g/p/d","high","Omega-3 fatty acids",0.196954065042617,0.19
"AFG","2014","g/p/d","high","Protein",111.748573041612,111.79
"AFG","2014","mg/p/d","base","Calcium",670.744499542282,670.48
"AFG","2014","mg/p/d","base","Iron",38.6724309208144,38.66
"AFG","2014","mg/p/d","base","Zinc",10.7076126898257,10.7
"AFG","2014","mg/p/d","high","Calcium",670.744499542282,670.48
"AFG","2014","mg/p/d","high","Iron",38.6724309208144,38.66
"AFG","2014","mg/p/d","high","Zinc",10.7076126898257,10.7
"AFG","2014","mg/p/d retinol","base","Vitamin A",471.68645827517,471.68
"AFG","2014","mg/p/d retinol","high","Vitamin A",471.68645827517,471.68
