"iso3c","year","units","scenario","nutrient","nutrient_supply_dis","nutrient_supply"
"AFG","2010","g/p/d","base","Omega-3 fatty acids",0.112344985594994,0.11
"AFG","2010","g/p/d","base","Protein",54.8805594048188,54.86
"AFG","2010","g/p/d","high","Omega-3 fatty acids",0.112344985594994,0.11
"AFG","2010","g/p/d","high","Protein",54.8805594048188,54.86
"AFG","2010","mg/p/d","base","Calcium",289.605904998464,289.14
"AFG","2010","mg/p/d","base","Iron",19.5766836725323,19.57
"AFG","2010","mg/p/d","base","Zinc",5.22445727081298,5.22
"AFG","2010","mg/p/d","high","Calcium",289.605904998464,289.14
"AFG","2010","mg/p/d","high","Iron",19.5766836725323,19.57
"AFG","2010","mg/p/d","high","Zinc",5.22445727081298,5.22
"AFG","2010","mg/p/d retinol","base","Vitamin A",123.473030339965,123.54
"AFG","2010","mg/p/d retinol","high","Vitamin A",123.473030339965,123.54
"AFG","2010","ug/p/d","base","Vitamin B12",1.26729221943238,1.26
"AFG","2010","ug/p/d","high","Vitamin B12",1.26729221943238,1.26
"AFG","2011","g/p/d","base","Omega-3 fatty acids",0.112787567224691,0.11
"AFG","2011","g/p/d","base","Protein",55.1606014235383,55.13
"AFG","2011","g/p/d","high","Omega-3 fatty acids",0.112787567224691,0.11
"AFG","2011","g/p/d","high","Protein",55.1606014235383,55.13
"AFG","2011","mg/p/d","base","Calcium",283.001295605182,282.42
"AFG","2011","mg/p/d","base","Iron",19.6079223203808,19.6
"AFG","2011","mg/p/d","base","Zinc",5.19528987694634,5.19
"AFG","2011","mg/p/d","high","Calcium",283.001295605182,282.42
"AFG","2011","mg/p/d","high","Iron",19.6079223203808,19.6
"AFG","2011","mg/p/d","high","Zinc",5.19528987694634,5.19
"AFG","2011","mg/p/d retinol","base","Vitamin A",115.575507542978,115.64
"AFG","2011","mg/p/d retinol","high","Vitamin A",115.575507542978,115.64
"AFG","2011","ug/p/d","base","Vitamin B12",1.26868894771791,1.26
"AFG","2011","ug/p/d","high","Vitamin B12",1.26868894771791,1.26
"AFG","2012","g/p/d","base","Omega-3 fatty acids",0.113229896476976,0.11
"AFG","2012","g/p/d","base","Protein",54.9202861596458,54.88
"AFG","2012","g/p/d","high","Omega-3 fatty acids",0.113229896476976,0.11
"AFG","2012","g/p/d","high","Protein",54.9202861596458,54.88
"AFG","2012","mg/p/d","base","Calcium",301.272741267882,300.55
"AFG","2012","mg/p/d","base","Iron",19.499134857751,19.49
"AFG","2012","mg/p/d","base","Zinc",5.21609129807677,5.21
"AFG","2012","mg/p/d","high","Calcium",301.272741267882,300.55
"AFG","2012","mg/p/d","high","Iron",19.499134857751,19.49
"AFG","2012","mg/p/d","high","Zinc",5.21609129807677,5.21
"AFG","2012","mg/p/d retinol","base","Vitamin A",113.208003289518,113.27
"AFG","2012","mg/p/d retinol","high","Vitamin A",113.208003289518,113.27
"AFG","2012","ug/p/d","base","Vitamin B12",1.31012967260436,1.3
"AFG","2012","ug/p/d","high","Vitamin B12",1.31012967260436,1.3
"AFG","2013","g/p/d","base","Omega-3 fatty acids",0.113614657802558,0.11
"AFG","2013","g/p/d","base","Protein",54.7890944099297,54.74
"AFG","2013","g/p/d","high","Omega-3 fatty acids",0.113614657802558,0.11
"AFG","2013","g/p/d","high","Protein",54.7890944099297,54.74
"AFG","2013","mg/p/d","base","Calcium",297.814841866877,296.99
"AFG","2013","mg/p/d","base","Iron",19.4102446193843,19.4
"AFG","2013","mg/p/d","base","Zinc",5.18683905141015,5.18
"AFG","2013","mg/p/d","high","Calcium",297.814841866877,296.99
"AFG","2013","mg/p/d","high","Iron",19.4102446193843,19.4
"AFG","2013","mg/p/d","high","Zinc",5.18683905141015,5.18
"AFG","2013","mg/p/d retinol","base","Vitamin A",113.600263372534,113.66
"AFG","2013","mg/p/d retinol","high","Vitamin A",113.600263372534,113.66
"AFG","2013","ug/p/d","base","Vitamin B12",1.27128282004105,1.26
"AFG","2013","ug/p/d","high","Vitamin B12",1.27128282004105,1.26
"AFG","2014","g/p/d","base","Omega-3 fatty acids",0.0940042211829188,0.09
"AFG","2014","g/p/d","base","Protein",55.9078673806552,55.89
"AFG","2014","g/p/d","high","Omega-3 fatty acids",0.0940042211829188,0.09
"AFG","2014","g/p/d","high","Protein",55.9078673806552,55.89
"AFG","2014","mg/p/d","base","Calcium",335.970660150797,335.23
"AFG","2014","mg/p/d","base","Iron",19.3312750072428,19.32
"AFG","2014","mg/p/d","base","Zinc",5.357483309935,5.35
"AFG","2014","mg/p/d","high","Calcium",335.970660150797,335.23
"AFG","2014","mg/p/d","high","Iron",19.3312750072428,19.32
"AFG","2014","mg/p/d","high","Zinc",5.357483309935,5.35
"AFG","2014","mg/p/d retinol","base","Vitamin A",235.652465910368,235.84
"AFG","2014","mg/p/d retinol","high","Vitamin A",235.652465910368,235.84
"AFG","2014","ug/p/d","base","Vitamin B12",2.50241308801296,2.5
"AFG","2014","ug/p/d","high","Vitamin B12",2.50241308801296,2.5
"AFG","2015","g/p/d","base","Omega-3 fatty acids",0.0844136128194592,0.08
"AFG","2015","g/p/d","base","Protein",54.2167976516988,54.2
"AFG","2015","g/p/d","high","Omega-3 fatty acids",0.0844136128194592,0.08
"AFG","2015","g/p/d","high","Protein",54.2167976516988,54.2
"AFG","2015","mg/p/d","base","Calcium",311.769879989712,310.96
"AFG","2015","mg/p/d","base","Iron",19.3023339809707,19.29
"AFG","2015","mg/p/d","base","Zinc",5.00819973496738,5
"AFG","2015","mg/p/d","high","Calcium",311.769879989712,310.96
"AFG","2015","mg/p/d","high","Iron",19.3023339809707,19.29
"AFG","2015","mg/p/d","high","Zinc",5.00819973496738,5
"AFG","2015","mg/p/d retinol","base","Vitamin A",209.924764736808,210.14
"AFG","2015","mg/p/d retinol","high","Vitamin A",209.924764736808,210.14
"AFG","2015","ug/p/d","base","Vitamin B12",2.24365099031016,2.24
"AFG","2015","ug/p/d","high","Vitamin B12",2.24365099031016,2.24
"AFG","2016","g/p/d","base","Omega-3 fatty acids",0.0848179767811679,0.08
"AFG","2016","g/p/d","base","Protein",53.7655004349252,53.75
"AFG","2016","g/p/d","high","Omega-3 fatty acids",0.0848179767811679,0.08
"AFG","2016","g/p/d","high","Protein",53.7655004349252,53.75
"AFG","2016","mg/p/d","base","Calcium",309.380003304198,308.53
"AFG","2016","mg/p/d","base","Iron",19.493423032137,19.48
"AFG","2016","mg/p/d","base","Zinc",5.06887132863954,5.06
"AFG","2016","mg/p/d","high","Calcium",309.380003304198,308.53
"AFG","2016","mg/p/d","high","Iron",19.493423032137,19.48
"AFG","2016","mg/p/d","high","Zinc",5.06887132863954,5.06
"AFG","2016","mg/p/d retinol","base","Vitamin A",218.916928508507,219.16
"AFG","2016","mg/p/d retinol","high","Vitamin A",218.916928508507,219.16
"AFG","2016","ug/p/d","base","Vitamin B12",2.14482518365032,2.14
"AFG","2016","ug/p/d","high","Vitamin B12",2.14482518365032,2.14
"AFG","2017","g/p/d","base","Omega-3 fatty acids",0.085262431588485,0.08
"AFG","2017","g/p/d","base","Protein",53.9250501548055,53.91
"AFG","2017","g/p/d","high","Omega-3 fatty acids",0.085262431588485,0.08
"AFG","2017","g/p/d","high","Protein",53.9250501548055,53.91
"AFG","2017","mg/p/d","base","Calcium",322.472252633658,321.53
"AFG","2017","mg/p/d","base","Iron",19.5446567141615,19.54
"AFG","2017","mg/p/d","base","Zinc",4.99969914625238,4.99
"AFG","2017","mg/p/d","high","Calcium",322.472252633658,321.53
"AFG","2017","mg/p/d","high","Iron",19.5446567141615,19.54
"AFG","2017","mg/p/d","high","Zinc",4.99969914625238,4.99
"AFG","2017","mg/p/d retinol","base","Vitamin A",201.129450908653,201.39
"AFG","2017","mg/p/d retinol","high","Vitamin A",201.129450908653,201.39
"AFG","2017","ug/p/d","base","Vitamin B12",2.01625047202257,2.01
"AFG","2017","ug/p/d","high","Vitamin B12",2.01625047202257,2.01
"AFG","2018","g/p/d","base","Omega-3 fatty acids",0.0839372591827765,0.0782
"AFG","2018","g/p/d","base","Protein",53.5456656895667,53.52330531
"AFG","2018","g/p/d","high","Omega-3 fatty acids",0.0839372591827765,0.0782
"AFG","2018","g/p/d","high","Protein",53.5456656895667,53.52330531
"AFG","2018","mg/p/d","base","Calcium",321.346096901588,320.25575895
"AFG","2018","mg/p/d","base","Iron",19.4355498984229,19.42957391
"AFG","2018","mg/p/d","base","Zinc",4.96313033952481,4.95249223
"AFG","2018","mg/p/d","high","Calcium",321.346096901588,320.25575895
"AFG","2018","mg/p/d","high","Iron",19.4355498984229,19.42957391
"AFG","2018","mg/p/d","high","Zinc",4.96313033952481,4.95249223
"AFG","2018","mg/p/d retinol","base","Vitamin A",200.62973481098,200.8960369
"AFG","2018","mg/p/d retinol","high","Vitamin A",200.62973481098,200.8960369
"AFG","2018","ug/p/d","base","Vitamin B12",1.9793651415378,1.97161329
"AFG","2018","ug/p/d","high","Vitamin B12",1.9793651415378,1.97161329
"AFG","2019","g/p/d","base","Omega-3 fatty acids",0.0820617945398701,0.076454
"AFG","2019","g/p/d","base","Protein",53.1626107018912,53.14577432
"AFG","2019","g/p/d","high","Omega-3 fatty acids",0.0820617945398701,0.076454
"AFG","2019","g/p/d","high","Protein",53.1626107018912,53.14577432
"AFG","2019","mg/p/d","base","Calcium",320.097698865179,319.0289164
"AFG","2019","mg/p/d","base","Iron",19.3272026631748,19.32159052
"AFG","2019","mg/p/d","base","Zinc",4.92677706341174,4.91639352
"AFG","2019","mg/p/d","high","Calcium",320.097698865179,319.0289164
"AFG","2019","mg/p/d","high","Iron",19.3272026631748,19.32159052
"AFG","2019","mg/p/d","high","Zinc",4.92677706341174,4.91639352
"AFG","2019","mg/p/d retinol","base","Vitamin A",200.244480940152,200.5204853
"AFG","2019","mg/p/d retinol","high","Vitamin A",200.244480940152,200.5204853
"AFG","2019","ug/p/d","base","Vitamin B12",1.94189073088594,1.93439695
