"iso3c","year","units","scenario","nutrient","nutrient_supply_dis","nutrient_supply"
"AFG","2010","g/p/d","base","Omega-3 fatty acids",0.12746640662659,0.11
"AFG","2010","g/p/d","base","Protein",54.8760303653024,54.86
"AFG","2010","g/p/d","high","Omega-3 fatty acids",0.12746640662659,0.11
"AFG","2010","g/p/d","high","Protein",54.8760303653024,54.86
"AFG","2010","mg/p/d","base","Calcium",289.729087490167,289.14
"AFG","2010","mg/p/d","base","Iron",19.5842535071042,19.57
"AFG","2010","mg/p/d","base","Zinc",5.23949478799243,5.22
"AFG","2010","mg/p/d","high","Calcium",289.729087490167,289.14
"AFG","2010","mg/p/d","high","Iron",19.5842535071042,19.57
"AFG","2010","mg/p/d","high","Zinc",5.23949478799243,5.22
"AFG","2010","mg/p/d retinol","base","Vitamin A",123.709461116522,123.54
"AFG","2010","mg/p/d retinol","high","Vitamin A",123.709461116522,123.54
"AFG","2010","ug/p/d","base","Vitamin B12",1.2758354451745,1.26
"AFG","2010","ug/p/d","high","Vitamin B12",1.2758354451745,1.26
"AFG","2011","g/p/d","base","Omega-3 fatty acids",0.130659582670057,0.11
"AFG","2011","g/p/d","base","Protein",55.1546775435368,55.13
"AFG","2011","g/p/d","high","Omega-3 fatty acids",0.130659582670057,0.11
"AFG","2011","g/p/d","high","Protein",55.1546775435368,55.13
"AFG","2011","mg/p/d","base","Calcium",283.129516537012,282.42
"AFG","2011","mg/p/d","base","Iron",19.6169414973484,19.6
"AFG","2011","mg/p/d","base","Zinc",5.21464376081501,5.19
"AFG","2011","mg/p/d","high","Calcium",283.129516537012,282.42
"AFG","2011","mg/p/d","high","Iron",19.6169414973484,19.6
"AFG","2011","mg/p/d","high","Zinc",5.21464376081501,5.19
"AFG","2011","mg/p/d retinol","base","Vitamin A",115.855379592106,115.64
"AFG","2011","mg/p/d retinol","high","Vitamin A",115.855379592106,115.64
"AFG","2011","ug/p/d","base","Vitamin B12",1.27879279212983,1.26
"AFG","2011","ug/p/d","high","Vitamin B12",1.27879279212983,1.26
"AFG","2012","g/p/d","base","Omega-3 fatty acids",0.133625505175439,0.11
"AFG","2012","g/p/d","base","Protein",54.9123041464217,54.88
"AFG","2012","g/p/d","high","Omega-3 fatty acids",0.133625505175439,0.11
"AFG","2012","g/p/d","high","Protein",54.9123041464217,54.88
"AFG","2012","mg/p/d","base","Calcium",301.399952467574,300.55
"AFG","2012","mg/p/d","base","Iron",19.5093010657103,19.49
"AFG","2012","mg/p/d","base","Zinc",5.23888909894616,5.21
"AFG","2012","mg/p/d","high","Calcium",301.399952467574,300.55
"AFG","2012","mg/p/d","high","Iron",19.5093010657103,19.49
"AFG","2012","mg/p/d","high","Zinc",5.23888909894616,5.21
"AFG","2012","mg/p/d retinol","base","Vitamin A",113.534146063738,113.27
"AFG","2012","mg/p/d retinol","high","Vitamin A",113.534146063738,113.27
"AFG","2012","ug/p/d","base","Vitamin B12",1.32215029327953,1.3
"AFG","2012","ug/p/d","high","Vitamin B12",1.32215029327953,1.3
"AFG","2013","g/p/d","base","Omega-3 fatty acids",0.136345828892976,0.11
"AFG","2013","g/p/d","base","Protein",54.779654933796,54.74
"AFG","2013","g/p/d","high","Omega-3 fatty acids",0.136345828892976,0.11
"AFG","2013","g/p/d","high","Protein",54.779654933796,54.74
"AFG","2013","mg/p/d","base","Calcium",297.940839979841,296.99
"AFG","2013","mg/p/d","base","Iron",19.4217342875288,19.4
"AFG","2013","mg/p/d","base","Zinc",5.21438793312316,5.18
"AFG","2013","mg/p/d","high","Calcium",297.940839979841,296.99
"AFG","2013","mg/p/d","high","Iron",19.4217342875288,19.4
"AFG","2013","mg/p/d","high","Zinc",5.21438793312316,5.18
"AFG","2013","mg/p/d retinol","base","Vitamin A",113.957241223133,113.66
"AFG","2013","mg/p/d retinol","high","Vitamin A",113.957241223133,113.66
"AFG","2013","ug/p/d","base","Vitamin B12",1.28412126473455,1.26
"AFG","2013","ug/p/d","high","Vitamin B12",1.28412126473455,1.26
"AFG","2014","g/p/d","base","Omega-3 fatty acids",0.209400111094229,0.18
"AFG","2014","g/p/d","base","Protein",111.787139807205,111.78
"AFG","2014","g/p/d","high","Omega-3 fatty acids",0.209400111094229,0.18
"AFG","2014","g/p/d","high","Protein",111.787139807205,111.78
"AFG","2014","mg/p/d","base","Calcium",671.354251239652,670.46
"AFG","2014","mg/p/d","base","Iron",38.6640188443976,38.64
"AFG","2014","mg/p/d","base","Zinc",10.7386736035032,10.7
"AFG","2014","mg/p/d","high","Calcium",671.354251239652,670.46
"AFG","2014","mg/p/d","high","Iron",38.6640188443976,38.64
"AFG","2014","mg/p/d","high","Zinc",10.7386736035032,10.7
"AFG","2014","mg/p/d retinol","base","Vitamin A",471.89742285365,471.68
"AFG","2014","mg/p/d retinol","high","Vitamin A",471.89742285365,471.68
"AFG","2014","ug/p/d","base","Vitamin B12",5.0182012200148,5
"AFG","2014","ug/p/d","high","Vitamin B12",5.0182012200148,5
"AFG","2015","g/p/d","base","Omega-3 fatty acids",0.192503529498247,0.16
"AFG","2015","g/p/d","base","Protein",108.404505750998,108.4
"AFG","2015","g/p/d","high","Omega-3 fatty acids",0.192503529498247,0.16
"AFG","2015","g/p/d","high","Protein",108.404505750998,108.4
"AFG","2015","mg/p/d","base","Calcium",622.878962332789,621.92
"AFG","2015","mg/p/d","base","Iron",38.6060465275378,38.58
"AFG","2015","mg/p/d","base","Zinc",10.0423861093276,10
"AFG","2015","mg/p/d","high","Calcium",622.878962332789,621.92
