"iso3c","year","units","scenario","nutrient","nutrient_supply_dis","nutrient_supply"
"AFG","2010","g/p/d","base","Omega-3 fatty acids",0.112560739317291,0.11
"AFG","2010","g/p/d","base","Protein",54.8876623935802,54.86
"AFG","2010","g/p/d","high","Omega-3 fatty acids",0.112560739317291,0.11
"AFG","2010","g/p/d","high","Protein",54.8876623935802,54.86
"AFG","2010","mg/p/d","base","Calcium",289.612958537543,289.14
"AFG","2010","mg/p/d","base","Iron",19.5827495624862,19.57
"AFG","2010","mg/p/d","base","Zinc",5.23797932180975,5.22
"AFG","2010","mg/p/d","high","Calcium",289.612958537543,289.14
"AFG","2010","mg/p/d","high","Iron",19.5827495624862,19.57
"AFG","2010","mg/p/d","high","Zinc",5.23797932180975,5.22
"AFG","2010","mg/p/d retinol","base","Vitamin A",123.716592322241,123.54
"AFG","2010","mg/p/d retinol","high","Vitamin A",123.716592322241,123.54
"AFG","2010","ug/p/d","base","Vitamin B12",1.2709040391786,1.26
"AFG","2010","ug/p/d","high","Vitamin B12",1.2709040391786,1.26
"AFG","2011","g/p/d","base","Omega-3 fatty acids",0.113035271306138,0.11
"AFG","2011","g/p/d","base","Protein",55.1691483760431,55.13
"AFG","2011","g/p/d","high","Omega-3 fatty acids",0.113035271306138,0.11
"AFG","2011","g/p/d","high","Protein",55.1691483760431,55.13
"AFG","2011","mg/p/d","base","Calcium",283.010010891642,282.42
"AFG","2011","mg/p/d","base","Iron",19.6155376048658,19.6
"AFG","2011","mg/p/d","base","Zinc",5.21160717577553,5.19
"AFG","2011","mg/p/d","high","Calcium",283.010010891642,282.42
"AFG","2011","mg/p/d","high","Iron",19.6155376048658,19.6
"AFG","2011","mg/p/d","high","Zinc",5.21160717577553,5.19
"AFG","2011","mg/p/d retinol","base","Vitamin A",115.87417833239,115.64
"AFG","2011","mg/p/d retinol","high","Vitamin A",115.87417833239,115.64
"AFG","2011","ug/p/d","base","Vitamin B12",1.27270409317906,1.26
"AFG","2011","ug/p/d","high","Vitamin B12",1.27270409317906,1.26
"AFG","2012","g/p/d","base","Omega-3 fatty acids",0.113506141209202,0.11
"AFG","2012","g/p/d","base","Protein",54.9301833409648,54.88
"AFG","2012","g/p/d","high","Omega-3 fatty acids",0.113506141209202,0.11
"AFG","2012","g/p/d","high","Protein",54.9301833409648,54.88
"AFG","2012","mg/p/d","base","Calcium",301.283487151876,300.55
"AFG","2012","mg/p/d","base","Iron",19.5081861409797,19.49
"AFG","2012","mg/p/d","base","Zinc",5.23548420496225,5.21
"AFG","2012","mg/p/d","high","Calcium",301.283487151876,300.55
"AFG","2012","mg/p/d","high","Iron",19.5081861409797,19.49
"AFG","2012","mg/p/d","high","Zinc",5.23548420496225,5.21
"AFG","2012","mg/p/d retinol","base","Vitamin A",113.572162393788,113.27
"AFG","2012","mg/p/d retinol","high","Vitamin A",113.572162393788,113.27
"AFG","2012","ug/p/d","base","Vitamin B12",1.3146779577892,1.3
"AFG","2012","ug/p/d","high","Vitamin B12",1.3146779577892,1.3
"AFG","2013","g/p/d","base","Omega-3 fatty acids",0.113913146357584,0.11
"AFG","2013","g/p/d","base","Protein",54.8001962068429,54.74
"AFG","2013","g/p/d","high","Omega-3 fatty acids",0.113913146357584,0.11
"AFG","2013","g/p/d","high","Protein",54.8001962068429,54.74
"AFG","2013","mg/p/d","base","Calcium",297.82670703932,296.99
"AFG","2013","mg/p/d","base","Iron",19.4205512414858,19.4
"AFG","2013","mg/p/d","base","Zinc",5.20887931179223,5.18
"AFG","2013","mg/p/d","high","Calcium",297.82670703932,296.99
"AFG","2013","mg/p/d","high","Iron",19.4205512414858,19.4
"AFG","2013","mg/p/d","high","Zinc",5.20887931179223,5.18
"AFG","2013","mg/p/d retinol","base","Vitamin A",114.008307574231,113.66
"AFG","2013","mg/p/d retinol","high","Vitamin A",114.008307574231,113.66
"AFG","2013","ug/p/d","base","Vitamin B12",1.27616085975252,1.26
"AFG","2013","ug/p/d","high","Vitamin B12",1.27616085975252,1.26
"AFG","2014","g/p/d","base","Omega-3 fatty acids",0.18433560829474,0.18
"AFG","2014","g/p/d","base","Protein",111.810407995844,111.78
"AFG","2014","g/p/d","high","Omega-3 fatty acids",0.18433560829474,0.18
"AFG","2014","g/p/d","high","Protein",111.810407995844,111.78
"AFG","2014","mg/p/d","base","Calcium",671.214647604119,670.46
"AFG","2014","mg/p/d","base","Iron",38.6623450818113,38.64
"AFG","2014","mg/p/d","base","Zinc",10.7312946630867,10.7
"AFG","2014","mg/p/d","high","Calcium",671.214647604119,670.46
"AFG","2014","mg/p/d","high","Iron",38.6623450818113,38.64
"AFG","2014","mg/p/d","high","Zinc",10.7312946630867,10.7
"AFG","2014","mg/p/d retinol","base","Vitamin A",471.963838199642,471.68
"AFG","2014","mg/p/d retinol","high","Vitamin A",471.963838199642,471.68
"AFG","2014","ug/p/d","base","Vitamin B12",5.00790329989105,5
"AFG","2014","ug/p/d","high","Vitamin B12",5.00790329989105,5
"AFG","2015","g/p/d","base","Omega-3 fatty acids",0.164771723879645,0.16
"AFG","2015","g/p/d","base","Protein",108.430672989865,108.4
"AFG","2015","g/p/d","high","Omega-3 fatty acids",0.164771723879645,0.16
