"nutrient","age_group","n","n_f_lower","p_f_lower","sev_delta_avg_m","sev_delta_avg_f","sev_delta_m_f_diff_avg","pvalue","sig","direction","label"
"Calcium","0-4",164,104,63.4146341463415,-0.488345165102732,-0.52668863376226,-0.0383434686595281,0.00243242138569195,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Calcium","5-9",164,64,39.0243902439024,-0.602786376448879,-0.645938501816402,-0.0431521253675227,0.0037771536286803,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Calcium","10-14",164,14,8.53658536585366,-0.403412156719079,-0.293488541802826,0.109923614916252,1.04090721874095e-05,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","15-19",164,20,12.1951219512195,-0.596445427676275,-0.358210125338037,0.238235302338239,8.03650379159727e-05,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","20-24",164,29,17.6829268292683,-0.607719689142338,-0.464018854944488,0.14370083419785,0.0159908497264069,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","25-29",164,29,17.6829268292683,-0.613073951532069,-0.484581198723247,0.128492752808822,0.0304725493256951,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","30-34",164,18,10.9756097560976,-0.615585099235184,-0.482100884037373,0.133484215197811,0.0354392819069606,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","35-39",164,17,10.3658536585366,-0.614789611393323,-0.481879435413883,0.132910175979441,0.0651651721248874,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Calcium","40-44",164,18,10.9756097560976,-0.623449084656939,-0.489280246771649,0.134168837885291,0.0711584601629593,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Calcium","45-49",164,45,27.4390243902439,-0.639158614068332,-0.51724252691926,0.121916087149072,0.109921346376686,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Calcium","50-54",164,12,7.31707317073171,-0.515255286789639,-0.24032434029288,0.274930946496759,3.86505819074969e-08,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","55-59",164,12,7.31707317073171,-0.351067573257001,-0.208627873261434,0.142439699995567,6.34602061331996e-05,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","60-64",164,14,8.53658536585366,-0.380673908666177,-0.235910150474388,0.144763758191789,8.50136641595006e-05,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","65-69",164,10,6.09756097560976,-0.360846152930042,-0.246778947126086,0.114067205803956,2.89995721407488e-05,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","70-74",164,13,7.92682926829268,-0.373332979320559,-0.248389144749354,0.124943834571205,1.32220444846106e-05,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","75-79",164,20,12.1951219512195,-0.383134127795788,-0.265631959701677,0.117502168094111,0.000182578595418317,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","80-84",164,47,28.6585365853659,-0.39667207280122,-0.292116799128545,0.104555273672675,0.00033108346059535,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","85-89",164,46,28.0487804878049,-0.39085456995898,-0.291856187166334,0.0989983827926458,0.00162613857794889,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","90-94",164,15,9.14634146341463,-0.461079373979929,-0.291832926277958,0.169246447701971,8.45265217103495e-06,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Calcium","95-99",164,14,8.53658536585366,-0.461079373979929,-0.323309062790835,0.137770311189094,0.000179461146602308,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Iron","0-4",164,12,7.31707317073171,-0.0439233288971734,-0.0337727135133325,0.0101506153838409,0.00241066974073131,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Iron","5-9",164,5,3.04878048780488,-0.0204372759794616,-0.0150428119492311,0.00539446403023045,0.00995717614723397,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Iron","10-14",164,118,71.9512195121951,-0.112070769710863,-0.378309018979648,-0.266238249268785,6.36046973690756e-08,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Iron","15-19",164,132,80.4878048780488,-0.0943962946228665,-0.333954099459928,-0.239557804837062,1.02516306695418e-07,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Iron","20-24",164,137,83.5365853658537,-0.121097139186357,-0.316997117204493,-0.195899978018135,2.12787905830311e-06,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Iron","25-29",164,136,82.9268292682927,-0.11933433292046,-0.301933808153221,-0.182599475232761,6.43128198701258e-06,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Iron","30-34",164,136,82.9268292682927,-0.112533899909449,-0.287003911003871,-0.174470011094422,7.56553466359713e-06,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Iron","35-39",164,137,83.5365853658537,-0.1066061476641,-0.270997996845863,-0.164391849181763,1.50581983708407e-05,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Iron","40-44",164,136,82.9268292682927,-0.100944613868247,-0.250378325986659,-0.149433712118412,5.01638468226165e-05,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Iron","45-49",164,136,82.9268292682927,-0.0933563320157268,-0.230037575019717,-0.13668124300399,0.000188015531089225,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Iron","50-54",164,65,39.6341463414634,-0.1263296511909,-0.109038948286228,0.0172907029046714,0.000492388781727687,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Iron","55-59",164,20,12.1951219512195,-0.126772138684546,-0.0809880522294285,0.0457840864551178,0.000129344680803041,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Iron","60-64",164,19,11.5853658536585,-0.111802705821867,-0.0762111933774149,0.035591512444452,0.00300141533766725,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Iron","65-69",164,17,10.3658536585366,-0.103079239524832,-0.0720883593585898,0.0309908801662421,0.00420956532575593,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Iron","70-74",164,17,10.3658536585366,-0.100684195180599,-0.075155334667125,0.0255288605134739,0.0915655057993198,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Iron","75-79",164,17,10.3658536585366,-0.0994727830154994,-0.0746117969654728,0.0248609860500266,0.0961819716872302,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Iron","80-84",164,17,10.3658536585366,-0.0937562577021114,-0.0751783351317476,0.0185779225703638,0.247772915769157,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Iron","85-89",164,17,10.3658536585366,-0.0923589174433623,-0.0746378173714646,0.0177211000718977,0.232092697631891,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Iron","90-94",164,17,10.3658536585366,-0.0910523861635218,-0.0750636779247547,0.0159887082387671,0.275402415812748,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Iron","95-99",164,17,10.3658536585366,-0.0910523861635218,-0.0724899919349637,0.0185623942285581,0.217172978863103,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Omega-3 fatty acids","25-29",164,53,32.3170731707317,-1.42445790827159,-1.85155750704896,-0.427099598777371,1.24110771476486e-06,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
