"nutrient","country","iso3","sex_id","age_id","cause","sev_base","sev_high","sev_delta"
"Red meat","Afghanistan","AFG",1,10,429,1.62658350433564,1.64266352500841,0.0160800206727707
"Red meat","Afghanistan","AFG",1,10,441,5.75131268448383,5.76237973114342,0.0110670466595897
"Red meat","Afghanistan","AFG",1,10,493,6.64217302913868,6.65213757182222,0.00996454268353819
"Red meat","Afghanistan","AFG",1,10,495,2.74102454914429,2.75668490090747,0.0156603517631795
"Red meat","Afghanistan","AFG",1,10,496,0,0,0
"Red meat","Afghanistan","AFG",1,10,497,0,0,0
"Red meat","Afghanistan","AFG",1,10,976,1.60510174506899,1.62226014136135,0.0171583962923534
"Red meat","Afghanistan","AFG",1,11,429,1.58646888147307,1.60923357961962,0.022764698146549
"Red meat","Afghanistan","AFG",1,11,441,5.71867476812753,5.73205168231746,0.0133769141899247
"Red meat","Afghanistan","AFG",1,11,493,6.61174740184152,6.62258001233111,0.0108326104895822
"Red meat","Afghanistan","AFG",1,11,495,2.69965133619237,2.71538499535611,0.0157336591637391
"Red meat","Afghanistan","AFG",1,11,496,0,0,0
"Red meat","Afghanistan","AFG",1,11,497,0,0,0
"Red meat","Afghanistan","AFG",1,11,976,1.56056205559782,1.57972776580995,0.0191657102121281
"Red meat","Afghanistan","AFG",1,12,429,1.48205913732191,1.50031228747416,0.0182531501522476
"Red meat","Afghanistan","AFG",1,12,441,5.56872981491664,5.58038571457165,0.0116558996550085
"Red meat","Afghanistan","AFG",1,12,493,6.4516737771958,6.46169333969374,0.0100195624979476
"Red meat","Afghanistan","AFG",1,12,495,2.58596912109782,2.60074394354949,0.0147748224516615
"Red meat","Afghanistan","AFG",1,12,496,0,0,0
"Red meat","Afghanistan","AFG",1,12,497,0,0,0
"Red meat","Afghanistan","AFG",1,12,976,1.45987615946419,1.4773784752241,0.0175023157599086
"Red meat","Afghanistan","AFG",1,13,429,1.42730458208517,1.28900565011158,-0.138298931973591
"Red meat","Afghanistan","AFG",1,13,441,5.43922496207358,5.3964448276292,-0.0427801344443859
"Red meat","Afghanistan","AFG",1,13,493,6.218698463314,6.2270699334812,0.00837147016719708
"Red meat","Afghanistan","AFG",1,13,495,2.14055014014368,2.14736314466191,0.00681300451823574
"Red meat","Afghanistan","AFG",1,13,496,0,0,0
"Red meat","Afghanistan","AFG",1,13,497,0,0,0
"Red meat","Afghanistan","AFG",1,13,976,1.36461125677589,1.37904853591302,0.0144372791371299
"Red meat","Afghanistan","AFG",1,14,429,1.44763124427993,1.46383851410392,0.0162072698239868
"Red meat","Afghanistan","AFG",1,14,441,5.29222153413329,5.30285724418579,0.0106357100525001
"Red meat","Afghanistan","AFG",1,14,493,6.32988247253764,6.33912575777505,0.00924328523741291
"Red meat","Afghanistan","AFG",1,14,495,2.02360337929152,2.0390919642373,0.0154885849457833
"Red meat","Afghanistan","AFG",1,14,496,0,0,0
