"nutrient","country","iso3","sex_id","age_id","sev_base","sev_high","sev_delta"
"Calcium","Afghanistan","AFG",1,5,86.286517984118,86.2708025226103,-0.0157154615077104
"Calcium","Afghanistan","AFG",1,6,89.1585797569337,89.1400473382143,-0.0185324187193885
"Calcium","Afghanistan","AFG",1,7,98.8778544987047,98.8756229839126,-0.00223151479205796
"Calcium","Afghanistan","AFG",1,8,97.804800453603,97.799190769529,-0.00560968407401674
"Calcium","Afghanistan","AFG",1,9,94.6823367755626,94.6698279452496,-0.0125088303130099
"Calcium","Afghanistan","AFG",1,10,94.8164027529036,94.8043083645085,-0.0120943883950844
"Calcium","Afghanistan","AFG",1,11,94.8528850513788,94.8411571629748,-0.0117278884040388
"Calcium","Afghanistan","AFG",1,12,95.0051432728894,94.9939652921001,-0.0111779807893697
"Calcium","Afghanistan","AFG",1,13,94.9601515763162,94.9491370775805,-0.0110144987357899
"Calcium","Afghanistan","AFG",1,14,94.9245664295006,94.9131624420344,-0.0114039874661955
"Calcium","Afghanistan","AFG",1,15,96.0292125733686,96.0212809746346,-0.00793159873396121
"Calcium","Afghanistan","AFG",1,16,98.4645622857405,98.461612541429,-0.00294974431156447
"Calcium","Afghanistan","AFG",1,17,98.4433259574848,98.4400894102615,-0.00323654722326694
"Calcium","Afghanistan","AFG",1,18,98.7118426119853,98.7090343643064,-0.00280824767887111
"Calcium","Afghanistan","AFG",1,19,98.803817135073,98.8010441150148,-0.00277302005817148
"Calcium","Afghanistan","AFG",1,20,99.54775543886,99.545983368454,-0.00177207040599114
"Calcium","Afghanistan","AFG",1,30,98.9325158654008,98.9296629402931,-0.00285292510773161
"Calcium","Afghanistan","AFG",1,31,99.0079758602338,99.0053202721954,-0.00265558803837962
"Calcium","Afghanistan","AFG",1,32,99.8456405613065,99.8448547684615,-0.000785792844993694
"Calcium","Afghanistan","AFG",1,33,99.8456405613065,99.8448547684615,-0.000785792844993694
"Calcium","Afghanistan","AFG",2,5,87.7573939494709,87.7422912066689,-0.0151027428019717
"Calcium","Afghanistan","AFG",2,6,90.4670407540007,90.4495993184147,-0.017441435586079
"Calcium","Afghanistan","AFG",2,7,99.2487083632096,99.247352122936,-0.00135624027359427
"Calcium","Afghanistan","AFG",2,8,99.0188154925754,99.0169759843869,-0.0018395081884961
"Calcium","Afghanistan","AFG",2,9,97.0796393929544,97.0738721587609,-0.00576723419354153
"Calcium","Afghanistan","AFG",2,10,96.915490673387,96.9095186212758,-0.00597205211111884
"Calcium","Afghanistan","AFG",2,11,96.8791722119437,96.8732745526163,-0.0058976593274167
"Calcium","Afghanistan","AFG",2,12,96.8687997936327,96.859600715543,-0.00919907808977882
"Calcium","Afghanistan","AFG",2,13,96.8192469021655,96.8134546055493,-0.00579229661617831
"Calcium","Afghanistan","AFG",2,14,96.8283497007503,96.8224637001109,-0.00588600063943545
"Calcium","Afghanistan","AFG",2,15,98.8887666976797,98.8869190029636,-0.0018476947161048
"Calcium","Afghanistan","AFG",2,16,99.0897141577032,99.0881967549225,-0.00151740278069212
"Calcium","Afghanistan","AFG",2,17,99.1271117565871,99.1255338359944,-0.00157792059266626
"Calcium","Afghanistan","AFG",2,18,99.1583192881868,99.1566940931139,-0.00162519507293268
"Calcium","Afghanistan","AFG",2,19,99.1987380386444,99.1970925137838,-0.00164552486059222
"Calcium","Afghanistan","AFG",2,20,99.2707757681474,99.2691590103359,-0.0016167578115045
"Calcium","Afghanistan","AFG",2,30,99.391995306618,99.3905003465052,-0.00149496011286487
"Calcium","Afghanistan","AFG",2,31,99.5048710934344,99.5036155708123,-0.00125552262207407
