"nutrient","country","iso3","sex_id","age_id","sev_base","sev_high","sev_delta"
"Calcium","Afghanistan","AFG",1,5,63.1838506997415,63.0990785727379,-0.0847721270035962
"Calcium","Afghanistan","AFG",1,6,53.9117375885764,53.7659200767286,-0.145817511847774
"Calcium","Afghanistan","AFG",1,7,92.9126411448355,92.8793312360514,-0.0333099087841333
"Calcium","Afghanistan","AFG",1,8,77.758387427641,77.6354798930065,-0.122907534634521
"Calcium","Afghanistan","AFG",1,9,59.1257320795957,58.9436131523088,-0.182118927286922
"Calcium","Afghanistan","AFG",1,10,60.6582600915852,60.4825911471296,-0.175668944455623
"Calcium","Afghanistan","AFG",1,11,62.5393259409407,62.3735256543055,-0.165800286635204
"Calcium","Afghanistan","AFG",1,12,64.6691412488823,64.5131417890526,-0.155999459829758
"Calcium","Afghanistan","AFG",1,13,65.7179855597511,65.5682774423334,-0.149708117417646
"Calcium","Afghanistan","AFG",1,14,63.9474496696083,63.7886226910885,-0.158826978519791
"Calcium","Afghanistan","AFG",1,15,76.3401965949924,76.2390627933051,-0.101133801687368
"Calcium","Afghanistan","AFG",1,16,90.9948884500793,90.9545832498695,-0.040305200209815
"Calcium","Afghanistan","AFG",1,17,89.4344632342222,89.3835068904521,-0.0509563437700677
"Calcium","Afghanistan","AFG",1,18,90.2686598144182,90.2187795652746,-0.0498802491435981
"Calcium","Afghanistan","AFG",1,19,89.679513862375,89.6232384206643,-0.0562754417106532
"Calcium","Afghanistan","AFG",1,20,88.9942290346249,88.9188708229464,-0.075358211678477
"Calcium","Afghanistan","AFG",1,30,86.8845283776234,86.8017433619809,-0.0827850156425143
"Calcium","Afghanistan","AFG",1,31,87.3737995696033,87.2918657736781,-0.0819337959251811
"Calcium","Afghanistan","AFG",1,32,89.408605049155,89.3159933087056,-0.0926117404493993
"Calcium","Afghanistan","AFG",1,33,89.408605049155,89.3159933087056,-0.0926117404493993
"Calcium","Afghanistan","AFG",2,5,64.023372303479,63.9318114589894,-0.0915608444896705
"Calcium","Afghanistan","AFG",2,6,53.8133172869405,53.6522384854121,-0.161078801528454
"Calcium","Afghanistan","AFG",2,7,95.8844732199506,95.8662124062173,-0.0182608137333062
"Calcium","Afghanistan","AFG",2,8,94.2898114835502,94.2637030874128,-0.0261083961374453
"Calcium","Afghanistan","AFG",2,9,82.1384908878207,82.0580356222235,-0.0804552655971946
"Calcium","Afghanistan","AFG",2,10,81.8589874549863,81.779165233223,-0.0798222217633224
"Calcium","Afghanistan","AFG",2,11,82.464332173228,82.3891535454617,-0.075178627766249
"Calcium","Afghanistan","AFG",2,12,83.0907761803307,83.0199437868318,-0.0708323934988897
"Calcium","Afghanistan","AFG",2,13,83.2476996917184,83.1784673790341,-0.0692323126842638
"Calcium","Afghanistan","AFG",2,14,82.7779230530482,82.7056046348652,-0.0723184181830305
"Calcium","Afghanistan","AFG",2,15,94.7820429319415,94.7612508764226,-0.0207920555188963
"Calcium","Afghanistan","AFG",2,16,95.6783156858233,95.660879483229,-0.0174362025943111
"Calcium","Afghanistan","AFG",2,17,95.2480981676353,95.2272128306621,-0.0208853369732083
"Calcium","Afghanistan","AFG",2,18,94.8213753859002,94.7969197312077,-0.0244556546925025
"Calcium","Afghanistan","AFG",2,19,94.4005294858769,94.3721111053728,-0.0284183805041209
"Calcium","Afghanistan","AFG",2,20,93.9525419936571,93.9189823448913,-0.0335596487657739
"Calcium","Afghanistan","AFG",2,30,93.5064506807879,93.4659463001525,-0.0405043806353973
"Calcium","Afghanistan","AFG",2,31,94.1319175130967,94.0932611626558,-0.0386563504408883
"Calcium","Afghanistan","AFG",2,32,94.2518036290709,94.2141965315772,-0.0376070974937619
"Calcium","Afghanistan","AFG",2,33,95.9040689103288,95.8716836354525,-0.0323852748763187
"Calcium","Albania","ALB",1,5,0,0,0
"Calcium","Albania","ALB",1,6,0,0,0
"Calcium","Albania","ALB",1,7,0,0,0
"Calcium","Albania","ALB",1,8,0,0,0
"Calcium","Albania","ALB",1,9,0,0,0
"Calcium","Albania","ALB",1,10,0,0,0
"Calcium","Albania","ALB",1,11,0,0,0
"Calcium","Albania","ALB",1,12,0,0,0
"Calcium","Albania","ALB",1,13,0,0,0
"Calcium","Albania","ALB",1,14,0,0,0
"Calcium","Albania","ALB",1,15,0,0,0
"Calcium","Albania","ALB",1,16,0,0,0
"Calcium","Albania","ALB",1,17,0,0,0
"Calcium","Albania","ALB",1,18,0,0,0
"Calcium","Albania","ALB",1,19,0,0,0
"Calcium","Albania","ALB",1,20,0,0,0
"Calcium","Albania","ALB",1,30,0,0,0
"Calcium","Albania","ALB",1,31,0,0,0
"Calcium","Albania","ALB",1,32,0,0,0
"Calcium","Albania","ALB",1,33,0,0,0
"Calcium","Albania","ALB",2,5,0,0,0
"Calcium","Albania","ALB",2,6,0,0,0
"Calcium","Albania","ALB",2,7,0,0,0
"Calcium","Albania","ALB",2,8,0,0,0
"Calcium","Albania","ALB",2,9,0,0,0
"Calcium","Albania","ALB",2,10,0,0,0
"Calcium","Albania","ALB",2,11,0,0,0
"Calcium","Albania","ALB",2,12,0,0,0
"Calcium","Albania","ALB",2,13,0,0,0
