"location","sdi","sdi_group"
"Global",0.641,"middle"
"Central Europe, eastern Europe, and central Asia",0.754,"high"
"Central Asia",0.655,"middle"
"Armenia",0.682,"middle"
"Azerbaijan",0.677,"middle"
"Georgia",0.693,"middle"
"Kazakhstan",0.716,"middle"
"Kyrgyzstan",0.588,"middle"
"Mongolia",0.597,"middle"
"Tajikistan",0.531,"middle"
"Turkmenistan",0.66,"middle"
"Uzbekistan",0.622,"middle"
"Central Europe",0.781,"high"
"Albania",0.674,"middle"
"Bosnia and Herzegovina",0.71,"middle"
"Bulgaria",0.755,"high"
"Croatia",0.788,"high"
"Czech Republic",0.822,"high"
"Hungary",0.784,"high"
"Montenegro",0.784,"high"
"North Macedonia",0.738,"middle"
"Poland",0.795,"high"
"Romania",0.752,"high"
"Serbia",0.76,"high"
"Slovakia",0.805,"high"
"Slovenia",0.835,"high"
"Eastern Europe",0.788,"high"
"Belarus",0.738,"middle"
"Estonia",0.829,"high"
"Latvia",0.813,"high"
"Lithuania",0.835,"high"
"Moldova",0.688,"middle"
"Russia",0.801,"high"
"Ukraine",0.732,"middle"
"High income",0.842,"high"
"Australasia",0.835,"high"
"Australia",0.834,"high"
"New Zealand",0.835,"high"
"High-income Asia Pacific",0.868,"high"
"Brunei",0.817,"high"
"Japan",0.865,"high"
"Aichi",0.876,"high"
"Akita",0.824,"high"
"Aomori",0.82,"high"
"Chiba",0.857,"high"
"Ehime",0.836,"high"
"Fukui",0.849,"high"
"Fukuoka",0.853,"high"
"Fukushima",0.83,"high"
"Gifu",0.847,"high"
"Gunma",0.852,"high"
"Hiroshima",0.862,"high"
"Hokkaidō",0.838,"high"
"Hyōgo",0.862,"high"
"Ibaraki",0.852,"high"
"Ishikawa",0.851,"high"
"Iwate",0.824,"high"
"Kagawa",0.85,"high"
"Kagoshima",0.825,"high"
"Kanagawa",0.878,"high"
"Kōchi",0.826,"high"
"Kumamoto",0.828,"high"
"Kyōto",0.87,"high"
"Mie",0.853,"high"
"Miyagi",0.851,"high"
"Miyazaki",0.82,"high"
"Nagano",0.851,"high"
"Nagasaki",0.821,"high"
"Nara",0.847,"high"
"Niigata",0.84,"high"
"Ōita",0.841,"high"
"Okayama",0.855,"high"
"Okinawa",0.813,"high"
"Ōsaka",0.871,"high"
"Saga",0.828,"high"
"Saitama",0.851,"high"
"Shiga",0.869,"high"
"Shimane",0.83,"high"
"Shizuoka",0.858,"high"
"Tochigi",0.854,"high"
"Tokushima",0.848,"high"
"Tōkyō",0.924,"high"
"Tottori",0.83,"high"
"Toyama",0.858,"high"
"Wakayama",0.842,"high"
"Yamagata",0.83,"high"
"Yamaguchi",0.849,"high"
"Yamanashi",0.853,"high"
"South Korea",0.871,"high"
"Singapore",0.858,"high"
"High-income North America",0.857,"high"
"Canada",0.869,"high"
"Greenland",0.756,"high"
"USA",0.856,"high"
"Alabama",0.818,"high"
"Alaska",0.848,"high"
"Arizona",0.838,"high"
"Arkansas",0.807,"high"
"California",0.865,"high"
"Colorado",0.874,"high"
"Connecticut",0.901,"high"
"Delaware",0.861,"high"
"Washington, DC",0.886,"high"
"Florida",0.852,"high"
"Georgia, USA",0.838,"high"
"Hawaii",0.858,"high"
"Idaho",0.825,"high"
"Illinois",0.869,"high"
"Indiana",0.835,"high"
"Iowa",0.859,"high"
"Kansas",0.854,"high"
"Kentucky",0.812,"high"
"Louisiana",0.82,"high"
"Maine",0.858,"high"
"Maryland",0.885,"high"
"Massachusetts",0.906,"high"
"Michigan",0.858,"high"
"Minnesota",0.882,"high"
"Mississippi",0.803,"high"
"Missouri",0.841,"high"
"Montana",0.851,"high"
"Nebraska",0.86,"high"
"Nevada",0.834,"high"
"New Hampshire",0.895,"high"
"New Jersey",0.89,"high"
"New Mexico",0.823,"high"
"New York",0.883,"high"
"North Carolina",0.836,"high"
"North Dakota",0.873,"high"
"Ohio",0.843,"high"
"Oklahoma",0.823,"high"
"Oregon",0.864,"high"
"Pennsylvania",0.866,"high"
"Rhode Island",0.879,"high"
"South Carolina",0.83,"high"
"South Dakota",0.847,"high"
"Tennessee",0.826,"high"
"Texas",0.83,"high"
"Utah",0.847,"high"
"Vermont",0.885,"high"
"Virginia",0.874,"high"
"Washington",0.873,"high"
"West Virginia",0.809,"high"
"Wisconsin",0.866,"high"
"Wyoming",0.853,"high"
"Southern Latin America",0.716,"middle"
"Argentina",0.702,"middle"
"Chile",0.753,"high"
"Uruguay",0.688,"middle"
"Western Europe",0.838,"high"
"Andorra",0.891,"high"
"Austria",0.844,"high"
"Belgium",0.846,"high"
"Cyprus",0.836,"high"
"Denmark",0.886,"high"
"Finland",0.851,"high"
"France",0.829,"high"
"Germany",0.894,"high"
"Greece",0.79,"high"
"Iceland",0.863,"high"
"Ireland",0.859,"high"
"Israel",0.798,"high"
"Italy",0.796,"high"
"Luxembourg",0.892,"high"
"Malta",0.793,"high"
"Monaco",0.899,"high"
"Netherlands",0.878,"high"
"Norway",0.91,"high"
"Portugal",0.736,"middle"
"San Marino",0.882,"high"
"Spain",0.761,"high"
"Sweden",0.868,"high"
"Stockholm",0.901,"high"
"Sweden except Stockholm",0.856,"high"
"Switzerland",0.926,"high"
"UK",0.842,"high"
"England",0.845,"high"
"East Midlands",0.821,"high"
"Derby",0.835,"high"
"Derbyshire",0.809,"high"
"Leicester",0.819,"high"
"Leicestershire",0.84,"high"
"Lincolnshire",0.804,"high"
"Northamptonshire",0.822,"high"
"Nottingham",0.848,"high"
"Nottinghamshire",0.806,"high"
"Rutland",0.84,"high"
"East of England",0.839,"high"
"Bedford",0.842,"high"
"Cambridgeshire",0.872,"high"
"Central Bedfordshire",0.836,"high"
"Essex",0.828,"high"
"Hertfordshire",0.872,"high"
"Luton",0.828,"high"
"Norfolk",0.818,"high"
"Peterborough",0.813,"high"
"Southend-on-Sea",0.807,"high"
"Suffolk",0.822,"high"
"Thurrock",0.799,"high"
"Greater London",0.892,"high"
"Barking and Dagenham",0.783,"high"
"Barnet",0.874,"high"
"Bexley",0.827,"high"
"Brent",0.846,"high"
"Bromley",0.854,"high"
"Camden",0.93,"high"
"Croydon",0.835,"high"
"Ealing",0.868,"high"
"Enfield",0.831,"high"
"Greenwich",0.83,"high"
"Hackney",0.879,"high"
"Hammersmith and Fulham",0.927,"high"
"Haringey",0.856,"high"
"Harrow",0.85,"high"
"Havering",0.817,"high"
"Hillingdon",0.879,"high"
"Hounslow",0.88,"high"
"Islington",0.916,"high"
"Kensington and Chelsea",0.939,"high"
"Kingston upon Thames",0.898,"high"
"Lambeth",0.902,"high"
"Lewisham",0.842,"high"
"Merton",0.872,"high"
"Newham",0.827,"high"
"Redbridge",0.836,"high"
"Richmond upon Thames",0.92,"high"
"Southwark",0.908,"high"
"Sutton",0.844,"high"
"Tower Hamlets",0.893,"high"
"Waltham Forest",0.822,"high"
"Wandsworth",0.915,"high"
"Westminster",0.928,"high"
"North East England",0.814,"high"
