"iso3","country","nutrient","sev_base","sev_high","sev_delta"
"AFG","Afghanistan","Calcium",96.9770603857586,96.9698547978916,-0.00720558786692642
"AFG","Afghanistan","DHA+EPA fatty acids",96.8510010148077,96.8233526618345,-0.0276483529731735
"AFG","Afghanistan","Iron",46.9672613840115,46.8801530174431,-0.0871083665684326
"AFG","Afghanistan","Vitamin A",85.1865388370699,85.1729751518802,-0.0135636851897424
"AFG","Afghanistan","Vitamin B-12",53.4016801832095,53.2867298312686,-0.114950351940935
"AFG","Afghanistan","Zinc",89.6111343049224,89.5904843888844,-0.0206499160379419
"AGO","Angola","Calcium",97.6228495222461,97.5949413084983,-0.0279082137477896
"AGO","Angola","DHA+EPA fatty acids",29.2111289524931,26.8036412117449,-2.40748774074819
"AGO","Angola","Iron",18.758337146347,18.4533592115403,-0.304977934806697
"AGO","Angola","Vitamin A",27.0254340272174,26.9395950391085,-0.0858389881089253
"AGO","Angola","Vitamin B-12",28.6046793171528,27.6694880340819,-0.935191283070857
"AGO","Angola","Zinc",21.4597776355502,21.0458262565782,-0.41395137897196
"ALB","Albania","Calcium",0.0174900764305724,0.0172447268860269,-0.000245349544545516
"ALB","Albania","DHA+EPA fatty acids",33.2036771007152,28.4371842037991,-4.76649289691605
"ALB","Albania","Iron",0.17759249546445,0.171268281202504,-0.00632421426194544
"ALB","Albania","Vitamin A",0.000334117976299618,0.000384045974660019,4.99279983604013e-05
"ALB","Albania","Vitamin B-12",1.78169024202278e-19,1.23160337298428e-20,-1.65852990472435e-19
"ALB","Albania","Zinc",4.12607768601631e-05,3.56416121134347e-05,-5.6191647467285e-06
"ARE","United Arab Emirates","Calcium",51.6420964101145,50.7432956816851,-0.898800728429338
"ARE","United Arab Emirates","DHA+EPA fatty acids",0,0,0
"ARE","United Arab Emirates","Iron",0.115415815786116,0.110083771309386,-0.0053320444767299
"ARE","United Arab Emirates","Vitamin A",3.58203008329004,3.61932521687946,0.0372951335894184
"ARE","United Arab Emirates","Vitamin B-12",0.000817269258287718,0.00037523412046331,-0.000442035137824408
"ARE","United Arab Emirates","Zinc",0.000101050358936615,8.38004083899742e-05,-1.72499505466404e-05
"ARG","Argentina","Calcium",95.0691354675867,95.0107029471828,-0.0584325204038585
"ARG","Argentina","DHA+EPA fatty acids",80.1911808916028,78.6516179528697,-1.53956293873315
"ARG","Argentina","Iron",2.16286276686364,2.13153958427676,-0.0313231825868744
"ARG","Argentina","Vitamin A",2.69379870394864e-18,2.95163863896914e-18,2.57839935020495e-19
"ARG","Argentina","Vitamin B-12",0,0,0
"ARG","Argentina","Zinc",1.18570163476223e-05,1.16000605194882e-05,-2.5695582813405e-07
"ARM","Armenia","Calcium",26.9964853971125,27.3695551765151,0.373069779402597
"ARM","Armenia","DHA+EPA fatty acids",41.0932268629118,39.0082628063221,-2.08496405658965
"ARM","Armenia","Iron",0.784931493380505,0.794488775685181,0.00955728230467466
"ARM","Armenia","Vitamin A",5.75408703732813e-07,1.09679984331778e-06,5.21391139584963e-07
"ARM","Armenia","Vitamin B-12",0,0,0
"ARM","Armenia","Zinc",0.0133314466455856,0.0149143269409117,0.00158288029532609
"ATG","Antigua & Barbuda","Calcium",54.5392710507178,52.0188039420445,-2.52046710867332
"ATG","Antigua & Barbuda","DHA+EPA fatty acids",0,0,0
"ATG","Antigua & Barbuda","Iron",3.96473900112731,3.55915396663074,-0.405585034496565
"ATG","Antigua & Barbuda","Vitamin A",2.35839689455843,2.45681671974954,0.0984198251911102
"ATG","Antigua & Barbuda","Vitamin B-12",5.288394607034e-13,1.98589172622753e-14,-5.08980543441125e-13
"ATG","Antigua & Barbuda","Zinc",2.02517220423135,1.48520182976696,-0.539970374464392
"AUS","Australia","Calcium",49.6429455752096,49.222708976474,-0.420236598735612
"AUS","Australia","DHA+EPA fatty acids",0,0,0
"AUS","Australia","Iron",0.642941874253396,0.636242737879597,-0.00669913637380035
"AUS","Australia","Vitamin A",3.92871299716533e-12,5.30957225707175e-12,1.38085925990642e-12
"AUS","Australia","Vitamin B-12",0,0,0
"AUS","Australia","Zinc",2.92289331086176e-05,2.98783870335696e-05,6.49453924952176e-07
"AUT","Austria","Calcium",52.6353101628991,52.2835321891109,-0.351777973788197
"AUT","Austria","DHA+EPA fatty acids",4.05978106133055,3.00468688581925,-1.05509417551129
"AUT","Austria","Iron",2.34985400575856,2.29862605831716,-0.0512279474413923
"AUT","Austria","Vitamin A",30.6458499959453,30.661097198241,0.0152472022956712
"AUT","Austria","Vitamin B-12",0.0937644854584949,0.073823058825901,-0.019941426632594
"AUT","Austria","Zinc",0.00818743402518328,0.00769738169052144,-0.000490052334661839
"AZE","Azerbaijan","Calcium",79.814410944874,79.9313162096269,0.116905264752919
"AZE","Azerbaijan","DHA+EPA fatty acids",80.0277687841027,79.0369595841731,-0.990809199929609
"AZE","Azerbaijan","Iron",0.475929457060945,0.484321474135276,0.00839201707433072
"AZE","Azerbaijan","Vitamin A",12.1975185596455,12.4961162369788,0.298597677333346
"AZE","Azerbaijan","Vitamin B-12",0.0844965982809967,0.091300635489701,0.00680403720870421
"AZE","Azerbaijan","Zinc",6.13027584743723,6.35624904684425,0.225973199407017
"BDI","Burundi","Calcium",99.2279151040103,99.2264750222626,-0.00144008174768899
"BDI","Burundi","DHA+EPA fatty acids",86.2241181983663,86.0567682145378,-0.167349983828486
"BDI","Burundi","Iron",99.1531295125779,99.1518245352466,-0.00130497733122006
"BDI","Burundi","Vitamin A",90.7715579630926,90.7713957150194,-0.000162248073174709
"BDI","Burundi","Vitamin B-12",88.1456423361188,88.0637451735708,-0.0818971625480331
"BDI","Burundi","Zinc",99.4408964243734,99.4401701025128,-0.000726321860605949
"BEL","Belgium","Calcium",52.8462601031573,52.4980055190577,-0.348254584099618
"BEL","Belgium","DHA+EPA fatty acids",4.05978106133055,3.00468688581925,-1.05509417551129
"BEL","Belgium","Iron",2.39922735356442,2.34728801635822,-0.051939337206198
"BEL","Belgium","Vitamin A",31.2361621672808,31.251441103019,0.0152789357381683
"BEL","Belgium","Vitamin B-12",0.0937644854584949,0.073823058825901,-0.019941426632594
"BEL","Belgium","Zinc",0.00973605619449046,0.00917836281754654,-0.000557693376943934
"BEN","Benin","Calcium",97.9006151008052,97.7626304295448,-0.137984671260381
"BEN","Benin","DHA+EPA fatty acids",29.5487980390939,27.2674472257433,-2.28135081335059
"BEN","Benin","Iron",56.2879100957199,55.7162707928279,-0.571639302891924
"BEN","Benin","Vitamin A",13.7734789354256,13.6486591065225,-0.124819828903082
"BEN","Benin","Vitamin B-12",31.5883717738333,29.9355215938688,-1.65285017996452
"BEN","Benin","Zinc",64.7320171874444,64.3712794841317,-0.360737703312653
"BFA","Burkina Faso","Calcium",99.6046795414735,99.5972906269091,-0.00738891456441344
"BFA","Burkina Faso","DHA+EPA fatty acids",64.682030911662,63.1784910895246,-1.50353982213745
"BFA","Burkina Faso","Iron",16.6976804024564,16.6415888475293,-0.0560915549271637
"BFA","Burkina Faso","Vitamin A",84.1679186022327,84.1539650547694,-0.0139535474633165
"BFA","Burkina Faso","Vitamin B-12",33.7236192208239,32.6861100196755,-1.03750920114836
